# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.93326200e+03	1.85949502e-01	-3.58151178e-01	-4.86435528e-02	1.28837000e+02	1.84609000e+02	1.93733000e+01	1.67488100e+01	2.39991700e+01	5.81199000e+00
-1.44785200e+03	1.82565313e-02	-7.47594056e-01	-1.39132736e-01	1.37236000e+02	1.76813000e+02	1.89288000e+01	1.78406800e+01	2.29856900e+01	5.67864000e+00
-8.29756000e+02	9.32458182e-03	-8.69787722e-01	-1.75156392e-01	1.39176000e+02	1.78707000e+02	1.88167000e+01	1.80928800e+01	2.32319100e+01	5.64501000e+00
-5.37643000e+02	5.24247152e-03	-8.75505012e-01	-1.78566165e-01	1.36217000e+02	1.76293000e+02	1.86566000e+01	1.77082100e+01	2.29180900e+01	5.59698000e+00
-4.17166000e+02	4.10902349e-03	-8.76277453e-01	-1.79420968e-01	1.36354000e+02	1.75816000e+02	1.95057000e+01	1.77260200e+01	2.28560800e+01	5.85171000e+00
-2.97733000e+02	2.62658086e-04	-8.86520201e-01	-1.84635731e-01	1.38236000e+02	1.76384000e+02	1.93736000e+01	1.79706800e+01	2.29299200e+01	5.81208000e+00
-1.76859000e+02	1.03270711e-03	-9.01524618e-01	-1.88358064e-01	1.37763000e+02	1.76723000e+02	1.90557000e+01	1.79091900e+01	2.29739900e+01	5.71671000e+00
-5.65670000e+01	-8.79642532e-17	-9.98696365e-01	-2.17001316e-01	1.37349000e+02	1.72951000e+02	1.63399000e+01	1.78553700e+01	2.24836300e+01	4.90197000e+00
6.34580000e+01	-5.78804393e-03	-1.40332592e+00	-3.39606062e-01	1.42235000e+02	1.62237000e+02	1.20326000e+01	1.84905500e+01	2.10908100e+01	3.60978000e+00
1.83003000e+02	-4.70961011e-02	-2.46548059e+00	-6.54068592e-01	1.43159000e+02	1.39043000e+02	8.56493000e+00	1.86106700e+01	1.80755900e+01	2.56947900e+00
3.04268000e+02	-5.60855372e-02	-2.58075574e+00	-6.80480520e-01	1.42806000e+02	1.36905000e+02	9.37478000e+00	1.85647800e+01	1.77976500e+01	2.81243400e+00
4.24856000e+02	-5.45731184e-02	-2.58475156e+00	-6.83904795e-01	1.41180000e+02	1.36291000e+02	9.20487000e+00	1.83534000e+01	1.77178300e+01	2.76146100e+00
5.45219000e+02	-5.22435597e-02	-2.54123175e+00	-6.72594041e-01	1.39335000e+02	1.36373000e+02	1.01356000e+01	1.81135500e+01	1.77284900e+01	3.04068000e+00
6.65567000e+02	-4.85402923e-02	-2.47973504e+00	-6.56892010e-01	1.37589000e+02	1.36789000e+02	1.00648000e+01	1.78865700e+01	1.77825700e+01	3.01944000e+00
7.84120000e+02	-4.15224230e-02	-2.49116451e+00	-6.67674388e-01	1.38191000e+02	1.36685000e+02	1.11192000e+01	1.79648300e+01	1.77690500e+01	3.33576000e+00
9.03993000e+02	-3.36529430e-02	-2.47234873e+00	-6.66025239e-01	1.41302000e+02	1.37584000e+02	1.11882000e+01	1.83692600e+01	1.78859200e+01	3.35646000e+00
1.02496000e+03	-2.56311107e-02	-2.47655395e+00	-6.69876222e-01	1.42500000e+02	1.38500000e+02	1.05000000e+01	1.85250000e+01	1.80050000e+01	3.15000000e+00
