# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-2016.613	-0.0653959	-0.8591099	-0.1701140	81.410	137.894	12.908	7.0583	11.9554	1.1191
-733.595	-0.0002734	-0.9423340	-0.1915416	78.941	137.493	13.782	6.8442	11.9206	1.1949
55.40499997	0.0777188	-1.6961152	-0.3855072	77.408	110.334	11.229	6.7113	9.5660	0.9736
188.05	0.0472788	-2.9738189	-0.6435891	80.887	85.216	8.730	7.0129	7.3882	0.7569
320.9549999	0.0789346	-3.9231696	-0.7485194	81.107	76.852	7.393	7.0320	6.6630	0.6410
453.7090001	0.0442300	-4.1585090	-0.7572297	82.852	75.966	7.490	7.1833	6.5862	0.6494
588.569	0.0838984	-4.0384960	-0.7521892	82.872	75.443	8.361	7.1850	6.5409	0.7249
722.973	0.1796575	-4.1484981	-0.7520577	82.793	75.702	8.589	7.1781	6.5634	0.7446
856.9679999	0.0924356	-4.2755798	-0.7584560	83.323	75.280	8.523	7.2241	6.5268	0.7389
991.207	0.1858137	-4.2641110	-0.7554788	83.018	76.383	8.662	7.1977	6.6224	0.7510
1125.666	0.1429324	-4.3891098	-0.7600312	83.408	76.626	8.534	7.2315	6.6434	0.7399
1260.118	0.1429324	-4.3891098	-0.7600312	82.293	76.870	7.785	7.1348	6.6646	0.6750
1395.187	0.1957165	-4.4990859	-0.7619553	82.322	76.738	7.697	7.1373	6.6532	0.6674
1532.344	0.2968859	-4.4755624	-0.7601666	81.511	77.278	8.803	7.0670	6.7000	0.7633
1665.065	0.1957165	-4.4990859	-0.7619553	81.069	77.632	8.847	7.0287	6.7307	0.7670
1798.779	0.1463379	-4.5089926	-0.7630331	80.814	77.318	8.880	7.0065	6.7035	0.7699
