# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1017.748	-0.0442638	-0.4742301	-0.0607300	102.061	137.880	15.788	13.2679	17.9244	2.0524
-451.993	0.0030319	-0.5335011	-0.0694389	99.312	140.017	15.163	12.9106	18.2022	1.9712
-112.662	0.0001510	-0.5340569	-0.0696126	99.012	140.196	15.179	12.8715	18.2255	1.9733
88.192	-0.0071781	-0.5608571	-0.0747410	97.351	132.068	16.035	12.6557	17.1688	2.0846
208.386	-0.0224600	-0.5449127	-0.0723461	98.746	132.455	14.834	12.8370	17.2192	1.9284
356.066	-0.0425155	-0.5440769	-0.0731173	99.541	129.035	15.452	12.9403	16.7746	2.0087
475.673	-0.0564265	-0.5416022	-0.0734456	99.092	129.532	15.528	12.8820	16.8392	2.0186
596.844	-0.0590340	-0.5080704	-0.0675615	99.977	129.331	16.345	12.9970	16.8130	2.1249
721.796	-0.0630618	-0.4764562	-0.0622570	100.625	129.725	15.233	13.0813	16.8643	1.9803
842.01	-0.0669659	-0.4535536	-0.0585751	100.811	130.020	15.474	13.1054	16.9026	2.0116
958.563	-0.0749147	-0.4641229	-0.0609856	101.162	129.542	15.495	13.1511	16.8405	2.0143
1078.666	-0.0810904	-0.4756699	-0.0634568	101.416	129.403	15.721	13.1841	16.8224	2.0437
1200.932	-0.0871789	-0.4722332	-0.0634098	101.451	129.491	15.293	13.1886	16.8338	1.9881
1319.802	-0.0948205	-0.4667435	-0.0631603	101.497	129.578	15.646	13.1946	16.8451	2.0340
1436.192	-0.1034697	-0.4677810	-0.0642266	103.122	126.618	15.011	13.4059	16.4603	1.9515
1555.356	-0.1102859	-0.4696686	-0.0653060	103.554	126.242	15.200	13.4620	16.4115	1.9760
1676.135	-0.1196393	-0.4590967	-0.0646810	104.265	126.100	14.515	13.5545	16.3930	1.8869
1891.387	-0.1225788	-0.4371041	-0.0614830	102.080	128.097	14.519	13.2704	16.6526	1.8875
2005.669	-0.1177465	-0.4100813	-0.0565417	103.024	131.604	14.469	13.3931	17.1085	1.8810
2144.593	-0.1216493	-0.4121720	-0.0574249	102.383	132.467	14.350	13.3098	17.2207	1.8655
2265.313	-0.1264985	-0.4122085	-0.0581626	103.259	134.074	14.009	13.4237	17.4296	1.8211
2390.661	-0.1300785	-0.4047322	-0.0576255	103.231	133.744	13.780	13.4200	17.3867	1.7914
