# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1569.425	-0.0018363	-0.1127811	-0.0099183	83.418	96.518	11.946	10.8443	12.5474	1.5529
-695.028	0.0013014	-0.1127049	-0.0099181	82.680	95.557	12.529	10.7484	12.4224	1.6288
-92.996	0.0002428	-0.1031757	-0.0087617	83.055	94.698	13.012	10.7971	12.3108	1.6915
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
60.149	0.0003430	-0.1094051	-0.0095098	85.506	93.354	11.145	11.1157	12.1360	1.4489
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
207.121	0.0022330	-0.1137413	-0.0100503	84.631	91.222	12.366	11.0021	11.8589	1.6076
321.724	0.0021904	-0.1126231	-0.0099130	84.963	89.934	11.895	11.0451	11.6915	1.5463
441.69	0.0026804	-0.1136878	-0.0100469	85.028	90.978	12.137	11.0536	11.8271	1.5778
561.34	0.0037147	-0.1159125	-0.0103311	85.500	91.500	11.000	11.1150	11.8950	1.4300
681.498	0.0037819	-0.1170927	-0.0104788	85.000	91.500	11.000	11.0500	11.8950	1.4300
763.115	0.0036460	-0.1147336	-0.0101836	85.025	92.298	12.273	11.0532	11.9988	1.5955
883.172	0.0043253	-0.1112132	-0.0097563	85.281	93.304	11.447	11.0865	12.1295	1.4882
1003.364	0.0039619	-0.1123943	-0.0098971	86.220	91.460	11.284	11.2086	11.8898	1.4669
1123.168	0.0038960	-0.1112919	-0.0097619	86.534	91.372	12.256	11.2494	11.8784	1.5933
1243.253	0.0048317	-0.1122271	-0.0098847	86.094	90.693	12.165	11.1922	11.7901	1.5814
1363.118	0.0029655	-0.1103013	-0.0096340	86.299	90.512	12.609	11.2188	11.7665	1.6392
1483.026	0.0024813	-0.1092403	-0.0095008	86.354	90.578	12.786	11.2260	11.7751	1.6621
1603.161	0.0020153	-0.1082172	-0.0093740	86.989	90.807	12.563	11.3085	11.8049	1.6332
1723.198	0.0011503	-0.1072544	-0.0092532	86.518	91.031	13.026	11.2473	11.8340	1.6934
1843.328	0.0007296	-0.1072729	-0.0092540	87.296	90.547	12.582	11.3485	11.7711	1.6357
2016.917	0.0015302	-0.1061716	-0.0091251	85.443	90.081	13.674	11.1076	11.7105	1.7776
2136.004	0.0010911	-0.1051603	-0.0090011	85.336	89.760	12.307	11.0937	11.6688	1.5999
2256.002	0.0006412	-0.1031613	-0.0087611	86.036	90.112	12.964	11.1846	11.7146	1.6854
2376.028	0.0006412	-0.1031613	-0.0087611	84.826	89.983	13.365	11.0274	11.6977	1.7374
2496.151	0.0002287	-0.1021913	-0.0086453	85.292	90.444	12.750	11.0879	11.7577	1.6575
2616.076	-0.0005678	-0.1002400	-0.0084123	85.386	91.291	13.604	11.1001	11.8679	1.7685
2736.284	-0.0016904	-0.0983596	-0.0081916	87.184	91.728	13.888	11.3339	11.9246	1.8054
2857.174	-0.0016904	-0.0983596	-0.0081916	86.779	91.884	13.916	11.2813	11.9449	1.8091
2977.16	-0.0024182	-0.0973907	-0.0080788	87.804	91.927	14.364	11.4145	11.9504	1.8673
3097.134	-0.0027854	-0.0973710	-0.0080765	87.903	91.466	14.168	11.4274	11.8906	1.8419
3217.055	-0.0020497	-0.0974098	-0.0080811	87.804	91.445	13.880	11.4145	11.8878	1.8044
