# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.95400000e+02	2.12686900e-02	-4.98088548e-01	-9.58302611e-02	1.32608000e+02	1.34188000e+02	1.19348000e+01	1.72390400e+01	1.74444400e+01	3.58044000e+00
-3.27172000e+02	-1.79786641e-04	-4.21084172e-01	-7.59260097e-02	1.34449000e+02	1.36841000e+02	9.60147000e+00	1.74783700e+01	1.77893300e+01	2.88044100e+00
-2.24980000e+01	6.54634555e-17	-3.50021785e-01	-5.92431455e-02	1.35648000e+02	1.34402000e+02	8.87404000e+00	1.76342400e+01	1.74722600e+01	2.66221200e+00
1.01041000e+02	5.72954529e-03	-3.57434159e-01	-6.11706959e-02	1.33943000e+02	1.28611000e+02	8.01863000e+00	1.74125900e+01	1.67194300e+01	2.40558900e+00
2.20677000e+02	7.52477449e-03	-3.27141165e-01	-5.43536740e-02	1.33239000e+02	1.28283000e+02	8.05199000e+00	1.73210700e+01	1.66767900e+01	2.41559700e+00
3.40961000e+02	6.98470087e-03	-3.30052355e-01	-5.49863815e-02	1.34023000e+02	1.28680000e+02	7.91350000e+00	1.74229900e+01	1.67284000e+01	2.37405000e+00
4.60912000e+02	6.97112580e-03	-3.44846732e-01	-5.83483809e-02	1.33988000e+02	1.27232000e+02	6.30102000e+00	1.74184400e+01	1.65401600e+01	1.89030600e+00
5.81313000e+02	2.26805165e-03	-3.60887870e-01	-6.18351557e-02	1.33927000e+02	1.25977000e+02	6.68943000e+00	1.74105100e+01	1.63770100e+01	2.00682900e+00
7.01379000e+02	2.76601882e-03	-3.49626281e-01	-5.92562722e-02	1.33918000e+02	1.26243000e+02	6.89960000e+00	1.74093400e+01	1.64115900e+01	2.06988000e+00
8.21074000e+02	3.02002482e-03	-3.60657383e-01	-6.18098589e-02	1.35075000e+02	1.25071000e+02	7.52247000e+00	1.75597500e+01	1.62592300e+01	2.25674100e+00
9.40436000e+02	1.02896457e-02	-3.61527770e-01	-6.23175398e-02	1.32964000e+02	1.24669000e+02	7.11949000e+00	1.72853200e+01	1.62069700e+01	2.13584700e+00
1.06064700e+03	1.04883616e-02	-3.71785963e-01	-6.47069229e-02	1.32526000e+02	1.24599000e+02	6.80772000e+00	1.72283800e+01	1.61978700e+01	2.04231600e+00
1.18100600e+03	1.06487779e-02	-3.70331679e-01	-6.43760026e-02	1.33139000e+02	1.23261000e+02	6.98125000e+00	1.73080700e+01	1.60239300e+01	2.09437500e+00
1.30114700e+03	7.83358371e-03	-3.84661299e-01	-6.76098786e-02	1.32623000e+02	1.21550000e+02	6.36634000e+00	1.72409900e+01	1.58015000e+01	1.90990200e+00
1.42060200e+03	1.14186662e-02	-3.92171827e-01	-6.95421048e-02	1.32643000e+02	1.19797000e+02	6.57359000e+00	1.72435900e+01	1.55736100e+01	1.97207700e+00
1.54104000e+03	1.23906314e-02	-3.95171432e-01	-7.02931087e-02	1.32457000e+02	1.18227000e+02	6.69956000e+00	1.72194100e+01	1.53695100e+01	2.00986800e+00
1.66158700e+03	1.34074218e-02	-3.76055090e-01	-6.58602162e-02	1.31948000e+02	1.19237000e+02	6.60439000e+00	1.71532400e+01	1.55008100e+01	1.98131700e+00
1.78120400e+03	1.63834773e-02	-3.71200862e-01	-6.48925435e-02	1.31629000e+02	1.19419000e+02	7.03819000e+00	1.71117700e+01	1.55244700e+01	2.11145700e+00
1.90065700e+03	2.10737373e-02	-3.43066692e-01	-5.86755817e-02	1.29280000e+02	1.22740000e+02	6.93290000e+00	1.68064000e+01	1.59562000e+01	2.07987000e+00
2.02035200e+03	2.52658362e-02	-3.20220990e-01	-5.37935255e-02	1.30055000e+02	1.24319000e+02	7.65069000e+00	1.69071500e+01	1.61614700e+01	2.29520700e+00
2.14140100e+03	2.52789285e-02	-3.04111840e-01	-5.02330702e-02	1.31025000e+02	1.24424000e+02	6.69177000e+00	1.70332500e+01	1.61751200e+01	2.00753100e+00
2.26063900e+03	2.52422667e-02	-2.91688518e-01	-4.75227707e-02	1.30285000e+02	1.25524000e+02	5.11724000e+00	1.69370500e+01	1.63181200e+01	1.53517200e+00
2.38300600e+03	2.79325807e-02	-2.88998098e-01	-4.71293908e-02	1.29103000e+02	1.24637000e+02	6.82434000e+00	1.67833900e+01	1.62028100e+01	2.04730200e+00
2.50136700e+03	2.52261621e-02	-2.74250679e-01	-4.37717560e-02	1.27240000e+02	1.26065000e+02	6.25331000e+00	1.65412000e+01	1.63884500e+01	1.87599300e+00
2.62113700e+03	2.58939289e-02	-2.64348169e-01	-4.17359307e-02	1.28956000e+02	1.27966000e+02	6.29424000e+00	1.67642800e+01	1.66355800e+01	1.88827200e+00
2.74143300e+03	2.32219650e-02	-2.49658197e-01	-3.84828123e-02	1.31096000e+02	1.27920000e+02	6.66180000e+00	1.70424800e+01	1.66296000e+01	1.99854000e+00
2.86137200e+03	1.89526380e-02	-2.37297018e-01	-3.56803010e-02	1.31618000e+02	1.29785000e+02	7.21220000e+00	1.71103400e+01	1.68720500e+01	2.16366000e+00
2.98031000e+03	1.62484866e-02	-2.22962706e-01	-3.26467808e-02	1.32285000e+02	1.32645000e+02	7.22796000e+00	1.71970500e+01	1.72438500e+01	2.16838800e+00
3.10180200e+03	1.31803196e-02	-2.02088834e-01	-2.84006999e-02	1.34044000e+02	1.36465000e+02	8.57268000e+00	1.74257200e+01	1.77404500e+01	2.57180400e+00
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.34113400e+03	1.13029574e-02	-1.79347538e-01	-2.40350183e-02	1.31750000e+02	1.39613000e+02	9.76182000e+00	1.71275000e+01	1.81496900e+01	2.92854600e+00
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
