# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-1.11906800e+03	-3.23946710e-03	-2.47072264e-01	-5.95019206e-02	4.93442000e+01	1.12704000e+02	1.71239000e+01	6.41474600e+00	1.46515200e+01	5.13717000e+00
-7.05990000e+02	-1.93295118e-03	-2.33255763e-01	-5.49024432e-02	4.90994000e+01	1.11420000e+02	1.61242000e+01	6.38292200e+00	1.44846000e+01	4.83726000e+00
-6.07672000e+02	-1.35530515e-03	-2.24522897e-01	-5.21053404e-02	4.94461000e+01	1.10950000e+02	1.63023000e+01	6.42799300e+00	1.44235000e+01	4.89069000e+00
-5.87192000e+02	-1.31471566e-03	-2.21179339e-01	-5.11047745e-02	4.85286000e+01	1.11851000e+02	1.58120000e+01	6.30871800e+00	1.45406300e+01	4.74360000e+00
-4.67112000e+02	-2.07729680e-03	-2.27550179e-01	-5.32646422e-02	4.96283000e+01	1.11326000e+02	1.55497000e+01	6.45167900e+00	1.44723800e+01	4.66491000e+00
-3.47215000e+02	-2.20161919e-03	-2.29720750e-01	-5.39528345e-02	5.02509000e+01	1.11598000e+02	1.52863000e+01	6.53261700e+00	1.45077400e+01	4.58589000e+00
-2.27156000e+02	-1.20345987e-03	-2.14376456e-01	-4.90806929e-02	5.04133000e+01	1.13066000e+02	1.59418000e+01	6.55372900e+00	1.46985800e+01	4.78254000e+00
-1.07182000e+02	-0.00000000e+00	-2.02040991e-01	-4.50381832e-02	5.36322000e+01	1.13568000e+02	1.62971000e+01	6.97218600e+00	1.47638400e+01	4.88913000e+00
1.29800000e+01	-6.86179770e-04	-2.11659609e-01	-4.80864511e-02	5.54233000e+01	1.11999000e+02	1.60824000e+01	7.20502900e+00	1.45598700e+01	4.82472000e+00
1.32763000e+02	-2.89243733e-03	-2.52308076e-01	-6.09654881e-02	5.75822000e+01	1.05161000e+02	1.37407000e+01	7.48568600e+00	1.36709300e+01	4.12221000e+00
2.52970000e+02	-3.33737899e-03	-2.59876861e-01	-6.34203321e-02	5.84288000e+01	1.03753000e+02	1.33438000e+01	7.59574400e+00	1.34878900e+01	4.00314000e+00
3.72952000e+02	-3.35212486e-03	-2.55550121e-01	-6.21088933e-02	5.86153000e+01	1.03773000e+02	1.18295000e+01	7.61998900e+00	1.34904900e+01	3.54885000e+00
4.92920000e+02	-3.55776465e-03	-2.63285720e-01	-6.45372182e-02	5.98096000e+01	1.00587000e+02	1.27802000e+01	7.77524800e+00	1.30763100e+01	3.83406000e+00
6.12954000e+02	-3.72648707e-03	-2.64632612e-01	-6.50053870e-02	5.81559000e+01	9.85876000e+01	1.25362000e+01	7.56026700e+00	1.28163880e+01	3.76086000e+00
