# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.66259000e+03	-2.35436137e-02	-1.39185485e-01	-1.79478516e-02	1.50745000e+02	8.18273000e+01	1.41209000e+01	1.95968500e+01	1.06375490e+01	4.23627000e+00
-1.05552300e+03	-4.24924061e-03	-2.79253992e-01	-4.85012320e-02	1.43728000e+02	7.46349000e+01	1.48893000e+01	1.86846400e+01	9.70253700e+00	4.46679000e+00
-6.73507000e+02	-4.64767647e-03	-2.76515702e-01	-4.76945729e-02	1.43646000e+02	7.65053000e+01	1.40789000e+01	1.86739800e+01	9.94568900e+00	4.22367000e+00
-5.54664000e+02	-3.22405721e-03	-2.85174875e-01	-4.98778671e-02	1.44358000e+02	7.62611000e+01	1.61973000e+01	1.87665400e+01	9.91394300e+00	4.85919000e+00
-4.35386000e+02	-2.67217664e-03	-2.88331047e-01	-5.05671339e-02	1.43247000e+02	7.60614000e+01	1.58811000e+01	1.86221100e+01	9.88798200e+00	4.76433000e+00
-3.15490000e+02	-2.28071258e-03	-2.90671074e-01	-5.10949610e-02	1.42570000e+02	7.67288000e+01	1.66257000e+01	1.85341000e+01	9.97474400e+00	4.98771000e+00
-1.93889000e+02	-9.45136714e-04	-2.98565448e-01	-5.30802433e-02	1.41733000e+02	7.61787000e+01	1.58075000e+01	1.84252900e+01	9.90323100e+00	4.74225000e+00
-7.40180000e+01	-0.00000000e+00	-3.04166542e-01	-5.44400111e-02	1.41543000e+02	7.68693000e+01	1.58806000e+01	1.84005900e+01	9.99300900e+00	4.76418000e+00
4.61070000e+01	3.28970540e-03	-3.23018634e-01	-5.93925006e-02	1.42256000e+02	7.50821000e+01	1.61831000e+01	1.84932800e+01	9.76067300e+00	4.85493000e+00
1.65180000e+02	4.63039804e-03	-3.30673601e-01	-6.13298144e-02	1.42055000e+02	7.52454000e+01	1.61695000e+01	1.84671500e+01	9.78190200e+00	4.85085000e+00
2.86362000e+02	8.15916585e-03	-3.50997074e-01	-6.65121723e-02	1.40285000e+02	7.34065000e+01	1.57011000e+01	1.82370500e+01	9.54284500e+00	4.71033000e+00
4.06353000e+02	9.66485313e-03	-3.60057171e-01	-6.88012987e-02	1.40582000e+02	7.31126000e+01	1.55644000e+01	1.82756600e+01	9.50463800e+00	4.66932000e+00
5.26642000e+02	1.10787454e-02	-3.68967116e-01	-7.10513599e-02	1.38386000e+02	7.26160000e+01	1.58769000e+01	1.79901800e+01	9.44008000e+00	4.76307000e+00
6.46261000e+02	1.46241693e-02	-3.91740774e-01	-7.69379570e-02	1.35827000e+02	7.27004000e+01	1.59015000e+01	1.76575100e+01	9.45105200e+00	4.77045000e+00
7.66335000e+02	1.62870510e-02	-4.02703764e-01	-7.98143900e-02	1.36114000e+02	7.26817000e+01	1.51813000e+01	1.76948200e+01	9.44862100e+00	4.55439000e+00
8.85851000e+02	1.60619611e-02	-3.97445509e-01	-7.87273522e-02	1.35206000e+02	7.20015000e+01	1.53017000e+01	1.75767800e+01	9.36019500e+00	4.59051000e+00
1.00575100e+03	1.74498334e-02	-4.11196477e-01	-8.20274486e-02	1.35051000e+02	7.21457000e+01	1.54203000e+01	1.75566300e+01	9.37894100e+00	4.62609000e+00
1.12627700e+03	1.87561033e-02	-4.18073267e-01	-8.39740993e-02	1.35643000e+02	7.09281000e+01	1.52749000e+01	1.76335900e+01	9.22065300e+00	4.58247000e+00
1.24556700e+03	1.60528020e-02	-4.01359362e-01	-7.94451090e-02	1.36193000e+02	7.16767000e+01	1.54456000e+01	1.77050900e+01	9.31797100e+00	4.63368000e+00
1.36618200e+03	1.76766529e-02	-4.10286055e-01	-8.19377319e-02	1.36199000e+02	7.06114000e+01	1.51845000e+01	1.77058700e+01	9.17948200e+00	4.55535000e+00
1.48583400e+03	1.78573159e-02	-4.11913931e-01	-8.23457101e-02	1.36973000e+02	7.09299000e+01	1.51556000e+01	1.78064900e+01	9.22088700e+00	4.54668000e+00
1.60587000e+03	1.93231714e-02	-4.20909628e-01	-8.47916093e-02	1.35607000e+02	6.99329000e+01	1.54816000e+01	1.76289100e+01	9.09127700e+00	4.64448000e+00
1.72622700e+03	2.00787232e-02	-4.20214016e-01	-8.49950762e-02	1.35281000e+02	6.91674000e+01	1.56111000e+01	1.75865300e+01	8.99176200e+00	4.68333000e+00
1.84565600e+03	2.02289231e-02	-4.21604974e-01	-8.53355650e-02	1.36968000e+02	7.03057000e+01	1.61840000e+01	1.78058400e+01	9.13974100e+00	4.85520000e+00
1.96601600e+03	2.03834724e-02	-4.26120853e-01	-8.63093682e-02	1.37131000e+02	7.13790000e+01	1.56937000e+01	1.78270300e+01	9.27927000e+00	4.70811000e+00
2.08584200e+03	2.06587628e-02	-4.26399699e-01	-8.64878558e-02	1.37484000e+02	7.11769000e+01	1.59616000e+01	1.78729200e+01	9.25299700e+00	4.78848000e+00
2.20583500e+03	1.76920181e-02	-4.10045411e-01	-8.18950542e-02	1.37133000e+02	7.22280000e+01	1.62161000e+01	1.78272900e+01	9.38964000e+00	4.86483000e+00
2.32587600e+03	1.81366437e-02	-4.11708761e-01	-8.24221884e-02	1.37002000e+02	7.21348000e+01	1.65402000e+01	1.78102600e+01	9.37752400e+00	4.96206000e+00
2.44607700e+03	1.75556540e-02	-4.08304881e-01	-8.14929907e-02	1.37229000e+02	7.17356000e+01	1.67677000e+01	1.78397700e+01	9.32562800e+00	5.03031000e+00
2.56588600e+03	1.48333522e-02	-3.92916008e-01	-7.72612039e-02	1.36966000e+02	7.30231000e+01	1.69737000e+01	1.78055800e+01	9.49300300e+00	5.09211000e+00
2.68633700e+03	1.34684778e-02	-3.85418734e-01	-7.51897649e-02	1.36925000e+02	7.37779000e+01	1.69286000e+01	1.78002500e+01	9.59112700e+00	5.07858000e+00
2.80600400e+03	1.56151307e-02	-3.97455449e-01	-7.84986235e-02	1.36554000e+02	7.45192000e+01	1.68222000e+01	1.77520200e+01	9.68749600e+00	5.04666000e+00
2.92551700e+03	1.51973902e-02	-3.95625507e-01	-7.79508614e-02	1.35672000e+02	7.41341000e+01	1.71634000e+01	1.76373600e+01	9.63743300e+00	5.14902000e+00
3.04574200e+03	1.53710668e-02	-3.96366960e-01	-7.81752649e-02	1.35177000e+02	7.41826000e+01	1.70970000e+01	1.75730100e+01	9.64373800e+00	5.12910000e+00
3.16584300e+03	1.63279883e-02	-4.01504160e-01	-7.96097112e-02	1.34983000e+02	7.47902000e+01	1.73273000e+01	1.75477900e+01	9.72272600e+00	5.19819000e+00
