# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.66259000e+03	2.28449929e-03	-1.63275477e-01	-2.46612850e-02	4.73440000e+01	1.75087000e+02	1.02695000e+01	6.15472000e+00	2.27613100e+01	3.08085000e+00
-1.05552300e+03	-1.06037146e-03	-2.12125166e-01	-3.44867906e-02	4.61601000e+01	1.74612000e+02	9.63623000e+00	6.00081300e+00	2.26995600e+01	2.89086900e+00
-6.73507000e+02	-4.13574187e-04	-2.01357714e-01	-3.20520262e-02	4.72828000e+01	1.75082000e+02	8.59846000e+00	6.14676400e+00	2.27606600e+01	2.57953800e+00
-5.54664000e+02	-5.29097917e-05	-1.95296240e-01	-3.06840738e-02	4.74565000e+01	1.75767000e+02	8.20859000e+00	6.16934500e+00	2.28497100e+01	2.46257700e+00
-4.35386000e+02	-1.22629508e-05	-1.94869604e-01	-3.06269610e-02	4.72697000e+01	1.75240000e+02	9.11857000e+00	6.14506100e+00	2.27812000e+01	2.73557100e+00
-3.15490000e+02	2.70091752e-04	-1.90457826e-01	-2.96851427e-02	4.76990000e+01	1.75695000e+02	9.73445000e+00	6.20087000e+00	2.28403500e+01	2.92033500e+00
-1.93889000e+02	8.62357993e-05	-1.94120623e-01	-3.06044255e-02	4.62839000e+01	1.75637000e+02	9.79302000e+00	6.01690700e+00	2.28328100e+01	2.93790600e+00
-7.40180000e+01	-1.16930321e-17	-1.95568750e-01	-3.09332206e-02	4.70774000e+01	1.74357000e+02	8.55127000e+00	6.12006200e+00	2.26664100e+01	2.56538100e+00
4.61070000e+01	-1.17931383e-03	-2.15050411e-01	-3.55672086e-02	4.66614000e+01	1.72226000e+02	8.19409000e+00	6.06598200e+00	2.23893800e+01	2.45822700e+00
1.65180000e+02	-2.51953843e-03	-2.36714789e-01	-4.07842360e-02	4.86044000e+01	1.69405000e+02	7.80023000e+00	6.31857200e+00	2.20226500e+01	2.34006900e+00
