# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-7.13529100e+03	5.26643525e-02	-2.55737742e-01	-2.57095539e-02	6.58972000e+01	6.98536000e+01	2.17305000e+01	8.56663600e+00	9.08096800e+00	6.51915000e+00
-5.96702200e+03	5.75357511e-02	-2.50060991e-01	-2.51359633e-02	6.74068000e+01	7.22228000e+01	2.22026000e+01	8.76288400e+00	9.38896400e+00	6.66078000e+00
-7.78684000e+02	1.01324061e-02	-2.59709253e-01	-2.53279900e-02	6.81695000e+01	6.67316000e+01	2.18284000e+01	8.86203500e+00	8.67510800e+00	6.54852000e+00
-5.55389000e+02	7.37320350e-03	-2.67028151e-01	-2.63060959e-02	6.69040000e+01	6.87425000e+01	2.15520000e+01	8.69752000e+00	8.93652500e+00	6.46560000e+00
-4.35854000e+02	5.08774972e-03	-2.77110236e-01	-2.76923874e-02	6.71366000e+01	7.01143000e+01	2.15993000e+01	8.72775800e+00	9.11485900e+00	6.47979000e+00
-3.15455000e+02	5.57117114e-03	-2.76448302e-01	-2.76027347e-02	6.87422000e+01	6.77720000e+01	2.16890000e+01	8.93648600e+00	8.81036000e+00	6.50670000e+00
-1.94594000e+02	3.64667881e-03	-2.81366409e-01	-2.82793362e-02	6.95541000e+01	6.73282000e+01	2.11443000e+01	9.04203300e+00	8.75266600e+00	6.34329000e+00
-7.44910000e+01	-2.83355831e-18	-2.87527645e-01	-2.91350863e-02	6.91147000e+01	6.77158000e+01	2.02391000e+01	8.98491100e+00	8.80305400e+00	6.07173000e+00
4.45350000e+01	4.43835357e-03	-2.90095979e-01	-2.95163007e-02	6.70931000e+01	6.77571000e+01	2.08040000e+01	8.72210300e+00	8.80842300e+00	6.24120000e+00
1.64046000e+02	-8.30914211e-05	-3.09912955e-01	-3.23558121e-02	6.91616000e+01	6.69323000e+01	2.02776000e+01	8.99100800e+00	8.70119900e+00	6.08328000e+00
2.85461000e+02	-7.95160862e-04	-3.39140631e-01	-3.66917314e-02	6.99607000e+01	6.56868000e+01	1.94242000e+01	9.09489100e+00	8.53928400e+00	5.82726000e+00
4.05846000e+02	-1.21472765e-03	-3.57687881e-01	-3.95248414e-02	7.08769000e+01	6.37923000e+01	1.93672000e+01	9.21399700e+00	8.29299900e+00	5.81016000e+00
5.26062000e+02	-1.33393572e-03	-3.76187236e-01	-4.24091432e-02	7.05295000e+01	6.13582000e+01	1.93861000e+01	9.16883500e+00	7.97656600e+00	5.81583000e+00
6.45908000e+02	-4.98892675e-03	-3.85712002e-01	-4.39057569e-02	7.17568000e+01	6.02737000e+01	1.94029000e+01	9.32838400e+00	7.83558100e+00	5.82087000e+00
7.65404000e+02	-8.90811589e-03	-3.87749040e-01	-4.42273150e-02	7.28805000e+01	5.95513000e+01	1.94321000e+01	9.47446500e+00	7.74166900e+00	5.82963000e+00
8.85554000e+02	-7.93169748e-03	-3.83993713e-01	-4.36321827e-02	7.21700000e+01	5.99281000e+01	1.93789000e+01	9.38210000e+00	7.79065300e+00	5.81367000e+00
1.00576900e+03	-8.38651342e-03	-3.97809511e-01	-4.58398127e-02	7.20829000e+01	5.71698000e+01	1.94296000e+01	9.37077700e+00	7.43207400e+00	5.82888000e+00
1.12523300e+03	-1.29048185e-02	-4.03936321e-01	-4.68389197e-02	7.33939000e+01	5.67543000e+01	1.94340000e+01	9.54120700e+00	7.37805900e+00	5.83020000e+00
1.24514200e+03	-1.70069732e-02	-4.13825286e-01	-4.84498232e-02	7.46585000e+01	5.63805000e+01	1.94823000e+01	9.70560500e+00	7.32946500e+00	5.84469000e+00
1.36564100e+03	-1.84809390e-02	-4.20489212e-01	-4.95474982e-02	7.41302000e+01	5.62226000e+01	1.95617000e+01	9.63692600e+00	7.30893800e+00	5.86851000e+00
1.48517900e+03	-1.47461493e-02	-4.25057189e-01	-5.02893849e-02	7.35524000e+01	5.74313000e+01	1.95465000e+01	9.56181200e+00	7.46606900e+00	5.86395000e+00
