# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1535.955	0.0073761	-0.2951168	-0.0272455	89.192	98.808	12.618	11.5949	12.8450	1.6403
-662.154	-0.0018227	-0.2974511	-0.0271149	90.921	98.522	12.069	11.8197	12.8079	1.5689
-63.116	0.0001521	-0.3002513	-0.0275698	90.480	97.581	12.425	11.7623	12.6855	1.6153
89.183	-0.0004729	-0.2975813	-0.0271906	89.645	98.351	11.192	11.6538	12.7856	1.4550
235.844	0.0008295	-0.3002969	-0.0276069	89.157	98.184	12.219	11.5904	12.7639	1.5885
350.579	0.0048624	-0.3112772	-0.0292790	87.589	96.449	13.600	11.3865	12.5383	1.7680
470.55	0.0076249	-0.3168182	-0.0301859	86.865	95.079	13.883	11.2924	12.3602	1.8048
589.525	0.0077173	-0.3255281	-0.0313894	86.732	94.186	15.003	11.2751	12.2441	1.9504
709.436	0.0092752	-0.3345025	-0.0327396	85.933	92.364	14.028	11.1712	12.0073	1.8236
791.768	0.0099767	-0.3344234	-0.0327715	86.135	91.596	13.579	11.1975	11.9074	1.7653
911.648	0.0116177	-0.3436706	-0.0341907	85.879	90.103	12.911	11.1643	11.7134	1.6785
1032.683	0.0116177	-0.3436706	-0.0341907	85.840	90.027	12.858	11.1592	11.7036	1.6715
1151.858	0.0132200	-0.3499012	-0.0351917	85.834	89.930	12.501	11.1584	11.6909	1.6251
1271.852	0.0140481	-0.3530992	-0.0357159	85.633	89.485	12.776	11.1323	11.6330	1.6608
1392.516	0.0149983	-0.3596426	-0.0367342	84.986	88.176	13.089	11.0481	11.4628	1.7015
1511.674	0.0130413	-0.3668899	-0.0376491	85.863	87.930	12.605	11.1621	11.4309	1.6387
1632.604	0.0137905	-0.3667408	-0.0376803	85.373	88.094	13.256	11.0985	11.4522	1.7233
1752.001	0.0139040	-0.3702606	-0.0382072	85.167	87.705	12.921	11.0717	11.4017	1.6798
1872.516	0.0141635	-0.3774380	-0.0392926	85.593	87.050	13.232	11.1271	11.3164	1.7201
2045.652	0.0137838	-0.3886666	-0.0409427	86.099	86.428	12.773	11.1928	11.2357	1.6604
2164.357	0.0148481	-0.3961722	-0.0421596	85.209	87.376	12.708	11.0772	11.3589	1.6520
2284.285	0.0159733	-0.4039170	-0.0434389	85.307	87.113	12.917	11.0899	11.3247	1.6792
2404.495	0.0159733	-0.4039170	-0.0434389	85.378	87.567	12.401	11.0991	11.3837	1.6122
2524.819	0.0158118	-0.3999495	-0.0428176	85.443	87.986	13.032	11.1076	11.4382	1.6941
2644.623	0.0158118	-0.3999495	-0.0428176	85.582	88.125	12.427	11.1257	11.4563	1.6155
2765.421	0.0140387	-0.3963171	-0.0421158	85.934	87.955	12.583	11.1714	11.4342	1.6358
2887.549	0.0139086	-0.3924768	-0.0415264	85.630	88.135	12.172	11.1319	11.4575	1.5823
3007.713	0.0139086	-0.3924768	-0.0415264	86.260	87.711	12.207	11.2139	11.4025	1.5869
3127.756	0.0125547	-0.4004671	-0.0426291	86.730	87.712	12.229	11.2749	11.4025	1.5898
3247.455	0.0117141	-0.4006167	-0.0425890	87.185	87.432	11.909	11.3340	11.3662	1.5482
