# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-434.408	-0.0000350	-0.4014283	-0.0811386	64.769	169.335	14.346	5.6154	14.6813	1.2438
135.113	-0.0000350	-0.4014283	-0.0811386	75.138	162.620	14.027	6.5145	14.0992	1.2161
326.645	-0.0012447	-0.4530407	-0.0957279	82.985	155.764	14.415	7.1948	13.5047	1.2498
483.496	-0.0014615	-0.4636387	-0.0987741	82.787	153.124	14.035	7.1777	13.2759	1.2168
641.068	-0.0016788	-0.4743291	-0.1018554	82.745	150.605	15.546	7.1740	13.0575	1.3478
799.374	-0.0026196	-0.4975701	-0.1095230	83.772	147.841	14.905	7.2630	12.8178	1.2923
956.885	-0.0038307	-0.5224436	-0.1178311	81.817	144.382	13.820	7.0935	12.5179	1.1982
1114.302	-0.0056751	-0.5374820	-0.1237035	79.544	142.824	15.145	6.8965	12.3828	1.3130
1272.038	-0.0085625	-0.5879189	-0.1402533	76.402	138.578	14.222	6.6241	12.0147	1.2331
1430.113	-0.0119721	-0.6606609	-0.1639096	80.229	129.362	12.258	6.9559	11.2157	1.0628
1586.8	-0.0128290	-0.6960386	-0.1750856	82.552	129.408	11.963	7.1572	11.2197	1.0372
1743.441	-0.0137448	-0.6881692	-0.1731186	79.270	131.476	11.710	6.8727	11.3990	1.0152
1900.205	-0.0127371	-0.6868388	-0.1722281	82.474	131.122	10.562	7.1505	11.3683	0.9157
2057.239	-0.0139651	-0.7066418	-0.1788738	84.350	130.863	10.458	7.3132	11.3458	0.9067
2215.171	-0.0172397	-0.7577791	-0.1960979	83.147	130.144	9.420	7.2089	11.2835	0.8167
2371.772	-0.0186318	-0.7796988	-0.2034935	84.718	127.211	8.813	7.3451	11.0292	0.7641
2529.329	-0.0196754	-0.8132475	-0.2143271	86.352	125.385	10.410	7.4867	10.8709	0.9026
2685.834	-0.0187011	-0.7500295	-0.1943757	83.525	130.516	8.626	7.2416	11.3157	0.7478
2844.348	-0.0210221	-0.7731781	-0.2024117	85.592	128.534	9.390	7.4208	11.1439	0.8141
3001.046	-0.0191596	-0.7409052	-0.1917239	86.482	133.016	8.975	7.4980	11.5325	0.7781
3158.456	-0.0181821	-0.7206947	-0.1851108	87.919	133.006	8.436	7.6225	11.5316	0.7314
3336.417	-0.0172426	-0.7017470	-0.1789220	83.100	140.232	8.611	7.2048	12.1581	0.7465
3494.557	-0.0170779	-0.7189933	-0.1841227	85.070	136.683	7.856	7.3755	11.8504	0.6812
3651.312	-0.0138583	-0.6972883	-0.1759578	84.691	138.427	8.167	7.3427	12.0016	0.7081
3809.287	-0.0120768	-0.6688857	-0.1664416	85.039	138.560	9.594	7.3729	12.0132	0.8318
3964.546	-0.0115557	-0.6947368	-0.1739634	88.617	136.789	8.552	7.6831	11.8596	0.7414
4119.986	-0.0113775	-0.6767199	-0.1684035	84.374	139.617	9.499	7.3152	12.1048	0.8235
4275.166	-0.0109951	-0.6764634	-0.1680936	85.520	138.673	9.460	7.4146	12.0229	0.8201
