# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1.53595500e+03	4.04578428e-02	-6.94147104e-01	-8.07904141e-02	1.08336000e+02	1.74643000e+02	1.05310000e+01	1.40836800e+01	2.27035900e+01	3.15930000e+00
-6.62154000e+02	2.39730968e-02	-7.36306362e-01	-8.81653532e-02	1.09508000e+02	1.76294000e+02	1.22569000e+01	1.42360400e+01	2.29182200e+01	3.67707000e+00
-6.31160000e+01	-0.00000000e+00	-6.87281868e-01	-8.06699039e-02	1.10758000e+02	1.76464000e+02	1.15401000e+01	1.43985400e+01	2.29403200e+01	3.46203000e+00
8.91830000e+01	6.75211143e-04	-7.91263685e-01	-9.82942994e-02	1.10080000e+02	1.71957000e+02	1.05327000e+01	1.43104000e+01	2.23544100e+01	3.15981000e+00
2.35844000e+02	-7.78905625e-03	-7.55055929e-01	-9.23521435e-02	1.09407000e+02	1.70248000e+02	1.22576000e+01	1.42229100e+01	2.21322400e+01	3.67728000e+00
3.50579000e+02	-1.35931153e-02	-7.07382646e-01	-8.45000777e-02	1.09942000e+02	1.70773000e+02	1.14871000e+01	1.42924600e+01	2.22004900e+01	3.44613000e+00
4.70550000e+02	-1.31773112e-02	-6.82025423e-01	-8.02850387e-02	1.09749000e+02	1.69150000e+02	1.16310000e+01	1.42673700e+01	2.19895000e+01	3.48930000e+00
5.89525000e+02	-1.61354082e-02	-6.50161279e-01	-7.51802525e-02	1.08236000e+02	1.67258000e+02	1.30839000e+01	1.40706800e+01	2.17435400e+01	3.92517000e+00
7.09436000e+02	-1.53602696e-02	-6.54343363e-01	-7.58284667e-02	1.09102000e+02	1.66694000e+02	1.30024000e+01	1.41832600e+01	2.16702200e+01	3.90072000e+00
7.91768000e+02	-1.81947379e-02	-6.55578227e-01	-7.61469356e-02	1.09439000e+02	1.65574000e+02	1.29561000e+01	1.42270700e+01	2.15246200e+01	3.88683000e+00
9.11648000e+02	-1.32734196e-02	-6.48281726e-01	-7.47664338e-02	1.09618000e+02	1.64976000e+02	1.32995000e+01	1.42503400e+01	2.14468800e+01	3.98985000e+00
1.03268300e+03	-1.51457458e-02	-6.52868419e-01	-7.55800909e-02	1.09627000e+02	1.64940000e+02	1.26658000e+01	1.42515100e+01	2.14422000e+01	3.79974000e+00
1.15185800e+03	-1.74916127e-02	-6.27465200e-01	-7.15943987e-02	1.09878000e+02	1.65978000e+02	1.31679000e+01	1.42841400e+01	2.15771400e+01	3.95037000e+00
1.27185200e+03	-2.36491750e-02	-6.38334034e-01	-7.35919764e-02	1.10297000e+02	1.63672000e+02	1.30352000e+01	1.43386100e+01	2.12773600e+01	3.91056000e+00
1.39251600e+03	-2.40276303e-02	-6.33876415e-01	-7.28879568e-02	1.10632000e+02	1.64613000e+02	1.32165000e+01	1.43821600e+01	2.13996900e+01	3.96495000e+00
1.51167400e+03	-2.99958251e-02	-6.56412425e-01	-7.68002114e-02	1.10727000e+02	1.62677000e+02	1.31756000e+01	1.43945100e+01	2.11480100e+01	3.95268000e+00
1.63260400e+03	-3.22265067e-02	-6.84311415e-01	-8.14963687e-02	1.10542000e+02	1.61808000e+02	1.13916000e+01	1.43704600e+01	2.10350400e+01	3.41748000e+00
1.75200100e+03	-3.41227103e-02	-7.01211160e-01	-8.43877300e-02	1.09604000e+02	1.61351000e+02	1.12426000e+01	1.42485200e+01	2.09756300e+01	3.37278000e+00
1.87251600e+03	-3.65407182e-02	-6.85546285e-01	-8.19130449e-02	1.10964000e+02	1.61339000e+02	1.07525000e+01	1.44253200e+01	2.09740700e+01	3.22575000e+00
2.04565200e+03	-3.20142728e-02	-7.16542786e-01	-8.68584557e-02	1.10292000e+02	1.62794000e+02	1.20453000e+01	1.43379600e+01	2.11632200e+01	3.61359000e+00
2.16435700e+03	-3.29339571e-02	-7.19863090e-01	-8.74644346e-02	1.09889000e+02	1.63299000e+02	1.19701000e+01	1.42855700e+01	2.12288700e+01	3.59103000e+00
2.28428500e+03	-3.53933254e-02	-7.01714119e-01	-8.45344195e-02	1.11780000e+02	1.63478000e+02	1.18774000e+01	1.45314000e+01	2.12521400e+01	3.56322000e+00
2.40449500e+03	-2.73462139e-02	-6.89201794e-01	-8.20687170e-02	1.11524000e+02	1.63642000e+02	1.18116000e+01	1.44981200e+01	2.12734600e+01	3.54348000e+00
2.52481900e+03	-2.54127441e-02	-6.72218946e-01	-7.91717622e-02	1.11425000e+02	1.65169000e+02	1.14305000e+01	1.44852500e+01	2.14719700e+01	3.42915000e+00
2.64462300e+03	-2.30628243e-02	-6.64347367e-01	-7.77848086e-02	1.11438000e+02	1.65045000e+02	1.16656000e+01	1.44869400e+01	2.14558500e+01	3.49968000e+00
