# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.50114800e+03	-5.37836712e-02	-3.86037492e-01	-7.32197700e-02	1.51596000e+02	1.28568000e+02	1.32770000e+01	1.97074800e+01	1.67138400e+01	3.98310000e+00
-9.26498000e+02	2.46967157e-03	-6.78803620e-01	-1.81845887e-01	1.52201000e+02	1.10412000e+02	1.35131000e+01	1.97861300e+01	1.43535600e+01	4.05393000e+00
-6.24834000e+02	2.40798222e-03	-6.50529107e-01	-1.72804855e-01	1.49885000e+02	1.11781000e+02	1.36666000e+01	1.94850500e+01	1.45315300e+01	4.09998000e+00
-5.06782000e+02	1.86914478e-03	-6.47597128e-01	-1.72206170e-01	1.49329000e+02	1.12340000e+02	1.37996000e+01	1.94127700e+01	1.46042000e+01	4.13988000e+00
-3.86845000e+02	2.53504103e-04	-6.45486112e-01	-1.72573022e-01	1.48576000e+02	1.13019000e+02	1.43665000e+01	1.93148800e+01	1.46924700e+01	4.30995000e+00
-2.67425000e+02	5.80061326e-04	-6.47395487e-01	-1.72973233e-01	1.50460000e+02	1.12795000e+02	1.37502000e+01	1.95598000e+01	1.46633500e+01	4.12506000e+00
-1.42918000e+02	1.66968732e-03	-6.46683780e-01	-1.72040000e-01	1.50632000e+02	1.12230000e+02	1.37396000e+01	1.95821600e+01	1.45899000e+01	4.12188000e+00
-2.37210000e+01	-6.58783986e-17	-6.56739468e-01	-1.76332843e-01	1.49945000e+02	1.11266000e+02	1.10875000e+01	1.94928500e+01	1.44645800e+01	3.32625000e+00
9.62820000e+01	7.45777502e-04	-6.49019150e-01	-1.73386498e-01	1.52470000e+02	1.05605000e+02	1.18035000e+01	1.98211000e+01	1.37286500e+01	3.54105000e+00
2.14783000e+02	1.67124498e-03	-6.62920068e-01	-1.77254528e-01	1.53650000e+02	1.04011000e+02	1.16410000e+01	1.99745000e+01	1.35214300e+01	3.49230000e+00
3.37774000e+02	1.68227419e-03	-7.01609082e-01	-1.89641237e-01	1.54643000e+02	1.03000000e+02	1.14133000e+01	2.01035900e+01	1.33900000e+01	3.42399000e+00
4.57186000e+02	7.21990127e-04	-7.25717678e-01	-1.97833416e-01	1.54527000e+02	1.02288000e+02	1.07725000e+01	2.00885100e+01	1.32974400e+01	3.23175000e+00
