# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-711.142	0.0379826	-0.2086655	-0.0274120	91.505	81.245	14.088	11.8957	10.5618	1.8314
-342.8670001	0.0143250	-0.2212617	-0.0293309	80.233	82.300	12.947	10.4303	10.6990	1.6831
-37.39499998	0.0029746	-0.2308222	-0.0311391	83.942	81.062	13.745	10.9124	10.5381	1.7868
85.02600002	-0.0002031	-0.2718276	-0.0390696	85.845	74.933	12.082	11.1599	9.7413	1.5707
204.921	-0.0052528	-0.3012352	-0.0450592	85.546	72.026	11.640	11.1209	9.3634	1.5132
325.277	-0.0094914	-0.3177303	-0.0485558	84.904	69.807	11.208	11.0375	9.0749	1.4571
445.039	0.0061927	-0.2952352	-0.0436923	82.348	64.779	10.869	10.7052	8.4213	1.4129
565.4749999	0.0169781	-0.2879282	-0.0421848	80.700	63.639	11.635	10.4910	8.2731	1.5125
685.76	0.0333495	-0.3459390	-0.0542968	84.384	53.528	10.609	10.9699	6.9586	1.3792
805.3699999	0.0467138	-0.4444241	-0.0762399	84.060	44.060	11.314	10.9278	5.7278	1.4708
924.921	0.0587945	-0.4901785	-0.0870449	84.168	41.492	11.463	10.9419	5.3940	1.4902
1044.852	0.0533334	-0.5037328	-0.0901236	83.823	40.876	11.683	10.8970	5.3138	1.5187
1165.23	0.0551820	-0.5145833	-0.0927272	84.459	40.209	11.355	10.9796	5.2271	1.4761
1285.508	0.0679995	-0.5861576	-0.1101791	86.324	37.278	10.878	11.2221	4.8461	1.4142
1405.207	0.0763154	-0.6588019	-0.1282937	87.229	36.737	10.837	11.3398	4.7758	1.4088
1525.371	0.0923354	-0.7409807	-0.1493060	89.257	34.905	11.058	11.6034	4.5376	1.4376
1645.957	0.1063974	-0.7740477	-0.1580698	89.072	35.432	11.476	11.5794	4.6062	1.4919
1765.789	0.1338732	-0.8221284	-0.1711932	91.092	36.059	12.712	11.8419	4.6876	1.6526
1884.981	0.1211104	-0.7417110	-0.1503423	91.633	40.257	10.557	11.9123	5.2334	1.3724
2004.747	0.1240680	-0.7838073	-0.1611290	90.026	43.033	11.970	11.7034	5.5942	1.5560
2125.518	0.1608322	-0.7759600	-0.1606512	90.303	44.587	11.383	11.7394	5.7963	1.4798
2244.8	0.1660420	-0.8454774	-0.1784755	89.947	45.615	11.669	11.6930	5.9300	1.5170
2365.408	0.1373021	-0.8706530	-0.1837387	88.789	47.401	11.986	11.5426	6.1622	1.5582
2485.571	0.1198216	-0.8319543	-0.1732514	88.829	48.365	12.573	11.5477	6.2875	1.6345
2605.309	0.1590995	-0.8523002	-0.1799023	90.396	48.026	12.699	11.7514	6.2434	1.6508
2725.701	0.1863045	-0.9125345	-0.1965041	90.438	48.091	14.106	11.7569	6.2518	1.8338
2845.715	0.2011815	-0.9590204	-0.2090509	89.556	47.251	14.155	11.6423	6.1426	1.8402
2964.542	0.2006920	-1.0275303	-0.2265288	88.627	46.936	13.414	11.5215	6.1017	1.7438
3085.841	0.1997339	-1.0617702	-0.2352457	89.613	48.369	12.849	11.6496	6.2880	1.6704
3205.527	0.2365149	-1.1434178	-0.2576536	90.656	47.534	12.760	11.7853	6.1794	1.6587
3325.466	0.2365149	-1.1434178	-0.2576536	90.615	47.973	13.601	11.7799	6.2365	1.7681
3445.532	0.2354058	-1.2266328	-0.2785982	89.924	47.085	12.612	11.6901	6.1211	1.6396
3565.117	0.2458020	-1.2613804	-0.2877473	90.795	46.719	12.169	11.8034	6.0735	1.5820
3684.917	0.2006529	-1.2556369	-0.2843392	89.683	47.853	12.676	11.6588	6.2209	1.6479
