# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-7.06894200e+03	-2.12702812e-02	-9.49572418e-02	-1.00774351e-02	9.74928000e+01	1.38101000e+02	1.17220000e+01	1.26740640e+01	1.79531300e+01	3.51660000e+00
-5.90040300e+03	-1.31726630e-02	-1.35886122e-01	-1.60487303e-02	9.83191000e+01	1.39868000e+02	1.16090000e+01	1.27814830e+01	1.81828400e+01	3.48270000e+00
-7.12766000e+02	-4.11246228e-02	-3.15456474e-01	-5.15631144e-02	9.83435000e+01	1.38479000e+02	1.10296000e+01	1.27846550e+01	1.80022700e+01	3.30888000e+00
-5.21896000e+02	-2.70207397e-02	-3.16072942e-01	-5.12661854e-02	9.83485000e+01	1.39555000e+02	1.09708000e+01	1.27853050e+01	1.81421500e+01	3.29124000e+00
-4.02843000e+02	-1.99412338e-02	-3.20046043e-01	-5.19745625e-02	9.79796000e+01	1.39249000e+02	1.03541000e+01	1.27373480e+01	1.81023700e+01	3.10623000e+00
-2.81701000e+02	-9.19066383e-03	-3.04279532e-01	-4.83756765e-02	9.74509000e+01	1.38044000e+02	1.12158000e+01	1.26686170e+01	1.79457200e+01	3.36474000e+00
-1.60515000e+02	-5.20384496e-03	-2.94713310e-01	-4.63021333e-02	9.70571000e+01	1.37711000e+02	1.20752000e+01	1.26174230e+01	1.79024300e+01	3.62256000e+00
-4.01560000e+01	2.97987373e-17	-2.77741222e-01	-4.26709906e-02	9.58969000e+01	1.38459000e+02	1.21361000e+01	1.24665970e+01	1.79996700e+01	3.64083000e+00
7.76600000e+01	7.85831729e-03	-3.08925037e-01	-4.93193348e-02	9.51199000e+01	1.29835000e+02	1.13047000e+01	1.23655870e+01	1.68785500e+01	3.39141000e+00
1.97867000e+02	1.37388292e-02	-3.65788766e-01	-6.19907169e-02	9.41299000e+01	1.21976000e+02	1.22237000e+01	1.22368870e+01	1.58568800e+01	3.66711000e+00
3.19847000e+02	1.17213073e-02	-4.29650137e-01	-7.68272451e-02	9.38239000e+01	1.15932000e+02	1.23710000e+01	1.21971070e+01	1.50711600e+01	3.71130000e+00
4.40521000e+02	8.58456587e-03	-4.68533956e-01	-8.61362334e-02	9.36454000e+01	1.13291000e+02	1.21407000e+01	1.21739020e+01	1.47278300e+01	3.64221000e+00
5.61120000e+02	2.93015039e-05	-5.59111290e-01	-1.08502172e-01	9.46408000e+01	1.08260000e+02	1.15503000e+01	1.23033040e+01	1.40738000e+01	3.46509000e+00
6.80848000e+02	-1.48028539e-02	-6.08129648e-01	-1.20966676e-01	9.45435000e+01	1.05455000e+02	1.21447000e+01	1.22906550e+01	1.37091500e+01	3.64341000e+00
7.99903000e+02	-2.67596502e-02	-7.02766666e-01	-1.45319314e-01	9.50214000e+01	1.02148000e+02	1.22778000e+01	1.23527820e+01	1.32792400e+01	3.68334000e+00
9.19809000e+02	-6.46495795e-02	-9.41003080e-01	-2.07573216e-01	9.63660000e+01	9.43806000e+01	1.10966000e+01	1.25275800e+01	1.22694780e+01	3.32898000e+00
1.03982300e+03	-1.23370418e-01	-1.23683982e+00	-2.82644207e-01	9.77888000e+01	8.57051000e+01	1.15151000e+01	1.27125440e+01	1.11416630e+01	3.45453000e+00
1.15794500e+03	-2.37151014e-01	-1.35280170e+00	-3.12716956e-01	9.86966000e+01	8.31089000e+01	1.21334000e+01	1.28305580e+01	1.08041570e+01	3.64002000e+00
1.27983500e+03	-3.47900635e-01	-1.48306698e+00	-3.44904723e-01	9.86876000e+01	8.03829000e+01	1.32525000e+01	1.28293880e+01	1.04497770e+01	3.97575000e+00
1.39991100e+03	-4.42049388e-01	-1.47788762e+00	-3.48342892e-01	9.89372000e+01	7.94472000e+01	1.33165000e+01	1.28618360e+01	1.03281360e+01	3.99495000e+00
1.51852000e+03	-5.66021026e-01	-1.35728286e+00	-3.32975683e-01	9.82846000e+01	7.85080000e+01	1.30390000e+01	1.27769980e+01	1.02060400e+01	3.91170000e+00
1.64014100e+03	-6.70187419e-01	-1.24124325e+00	-3.20891765e-01	9.82960000e+01	7.80570000e+01	1.35112000e+01	1.27784800e+01	1.01474100e+01	4.05336000e+00
1.76024100e+03	-7.79163742e-01	-1.24746735e+00	-3.33183181e-01	9.80872000e+01	7.77394000e+01	1.33460000e+01	1.27513360e+01	1.01061220e+01	4.00380000e+00
1.87718400e+03	-7.60573818e-01	-1.05747702e+00	-2.99088657e-01	9.94330000e+01	8.05802000e+01	1.22536000e+01	1.29262900e+01	1.04754260e+01	3.67608000e+00
1.99769900e+03	-7.44597957e-01	-9.08536908e-01	-2.72800617e-01	1.00519000e+02	8.08082000e+01	1.27147000e+01	1.30674700e+01	1.05050660e+01	3.81441000e+00
2.11827400e+03	-7.05725493e-01	-7.93354740e-01	-2.49174042e-01	1.01998000e+02	7.98488000e+01	1.30606000e+01	1.32597400e+01	1.03803440e+01	3.91818000e+00
2.24123800e+03	-7.25389205e-01	-7.77988173e-01	-2.50980353e-01	1.02707000e+02	7.88378000e+01	1.31692000e+01	1.33519100e+01	1.02489140e+01	3.95076000e+00
2.35912300e+03	-7.01213008e-01	-7.30435474e-01	-2.40123896e-01	1.01732000e+02	7.91506000e+01	1.31867000e+01	1.32251600e+01	1.02895780e+01	3.95601000e+00
2.47943500e+03	-6.75203741e-01	-6.44723210e-01	-2.25485015e-01	1.02578000e+02	7.88816000e+01	1.33946000e+01	1.33351400e+01	1.02546080e+01	4.01838000e+00
2.59957500e+03	-6.63505288e-01	-6.05774596e-01	-2.19793795e-01	1.02308000e+02	7.92369000e+01	1.34493000e+01	1.33000400e+01	1.03007970e+01	4.03479000e+00
2.71981800e+03	-6.33656782e-01	-5.52926868e-01	-2.09637022e-01	1.03077000e+02	7.79480000e+01	1.37430000e+01	1.34000100e+01	1.01332400e+01	4.12290000e+00
2.83968400e+03	-6.07402171e-01	-5.24765331e-01	-2.01291508e-01	1.04201000e+02	7.84997000e+01	1.41875000e+01	1.35461300e+01	1.02049610e+01	4.25625000e+00
2.95990300e+03	-5.62141608e-01	-4.83769270e-01	-1.86073285e-01	1.04309000e+02	7.95296000e+01	1.42464000e+01	1.35601700e+01	1.03388480e+01	4.27392000e+00
3.08006700e+03	-5.25461068e-01	-4.47892686e-01	-1.74080280e-01	1.05159000e+02	7.92272000e+01	1.42850000e+01	1.36706700e+01	1.02995360e+01	4.28550000e+00
3.20023900e+03	-5.06643868e-01	-4.29459525e-01	-1.68385474e-01	1.06226000e+02	7.89129000e+01	1.47494000e+01	1.38093800e+01	1.02586770e+01	4.42482000e+00
3.32050100e+03	-4.89110669e-01	-4.13660560e-01	-1.62759969e-01	1.05943000e+02	7.97844000e+01	1.42812000e+01	1.37725900e+01	1.03719720e+01	4.28436000e+00
3.43948400e+03	-4.42342150e-01	-3.75991643e-01	-1.44994181e-01	1.05753000e+02	8.13013000e+01	1.36962000e+01	1.37478900e+01	1.05691690e+01	4.10886000e+00
3.55998100e+03	-3.98851163e-01	-3.39227613e-01	-1.29013038e-01	1.06016000e+02	8.16891000e+01	1.41264000e+01	1.37820800e+01	1.06195830e+01	4.23792000e+00
4.14133600e+03	-2.65837515e-01	-2.25650271e-01	-7.95598083e-02	1.06228000e+02	8.25364000e+01	1.06604000e+01	1.38096400e+01	1.07297320e+01	3.19812000e+00
8.55267400e+03	-1.04226344e-01	-8.60168905e-02	-2.09471997e-02	1.00459000e+02	8.91017000e+01	1.15344000e+01	1.30596700e+01	1.15832210e+01	3.46032000e+00
