# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.69394200e+03	-2.40438244e-02	-6.78970519e-02	-9.03876364e-03	5.85990000e+01	1.08809000e+02	1.94472000e+01	7.61787000e+00	1.41451700e+01	5.83416000e+00
-1.08784700e+03	-2.09640361e-02	-2.72907761e-01	-5.28935356e-02	4.40999000e+01	8.69051000e+01	2.15505000e+01	5.73298700e+00	1.12976630e+01	6.46515000e+00
-6.90054000e+02	-4.70928087e-02	-4.77979327e-01	-1.05998448e-01	4.23188000e+01	8.10922000e+01	2.40849000e+01	5.50144400e+00	1.05419860e+01	7.22547000e+00
-5.71314000e+02	-5.24198264e-02	-5.26023292e-01	-1.18206655e-01	4.38068000e+01	8.05341000e+01	2.35918000e+01	5.69488400e+00	1.04694330e+01	7.07754000e+00
-4.51609000e+02	-5.24747135e-02	-5.68910726e-01	-1.28844963e-01	4.34667000e+01	8.03213000e+01	2.34748000e+01	5.65067100e+00	1.04417690e+01	7.04244000e+00
-3.31622000e+02	-3.85702396e-02	-5.60550973e-01	-1.26367574e-01	4.25327000e+01	8.15194000e+01	2.30211000e+01	5.52925100e+00	1.05975220e+01	6.90633000e+00
-2.11007000e+02	-1.74224412e-02	-5.84474915e-01	-1.31875016e-01	4.19975000e+01	8.12917000e+01	2.30039000e+01	5.45967500e+00	1.05679210e+01	6.90117000e+00
-9.12380000e+01	-0.00000000e+00	-5.48414772e-01	-1.22821977e-01	4.12948000e+01	8.17867000e+01	2.28392000e+01	5.36832400e+00	1.06322710e+01	6.85176000e+00
2.94850000e+01	2.92471939e-03	-6.67179222e-01	-1.51661009e-01	4.12144000e+01	7.65340000e+01	2.21828000e+01	5.35787200e+00	9.94942000e+00	6.65484000e+00
1.48965000e+02	-1.34129374e-02	-8.01259837e-01	-1.81188454e-01	4.19539000e+01	7.34672000e+01	2.16031000e+01	5.45400700e+00	9.55073600e+00	6.48093000e+00
2.69769000e+02	1.53285900e-02	-9.11762692e-01	-2.03445902e-01	4.14216000e+01	7.20546000e+01	2.24243000e+01	5.38480800e+00	9.36709800e+00	6.72729000e+00
3.89382000e+02	3.64149516e-02	-1.08613311e+00	-2.32396828e-01	4.40109000e+01	6.81962000e+01	2.20251000e+01	5.72141700e+00	8.86550600e+00	6.60753000e+00
5.09623000e+02	-1.29561360e-01	-1.19777827e+00	-2.42537864e-01	5.67090000e+01	6.43174000e+01	1.95194000e+01	7.37217000e+00	8.36126200e+00	5.85582000e+00
6.29632000e+02	-9.82547070e-02	-1.26107363e+00	-2.48796036e-01	5.87971000e+01	6.30481000e+01	1.91860000e+01	7.64362300e+00	8.19625300e+00	5.75580000e+00
7.49347000e+02	-9.79391679e-02	-1.24822234e+00	-2.47822694e-01	6.13292000e+01	6.27782000e+01	1.94375000e+01	7.97279600e+00	8.16116600e+00	5.83125000e+00
8.69203000e+02	-1.52778347e-01	-1.22706665e+00	-2.44461486e-01	6.64653000e+01	6.23310000e+01	1.91999000e+01	8.64048900e+00	8.10303000e+00	5.75997000e+00
9.88934000e+02	-1.52602296e-01	-1.23845431e+00	-2.45481954e-01	6.68119000e+01	6.17227000e+01	1.94340000e+01	8.68554700e+00	8.02395100e+00	5.83020000e+00
1.10942100e+03	-1.69206705e-01	-1.23758511e+00	-2.45083625e-01	7.04691000e+01	6.20285000e+01	1.95679000e+01	9.16098300e+00	8.06370500e+00	5.87037000e+00
1.22885500e+03	-2.29109263e-01	-1.22394700e+00	-2.43832941e-01	7.56619000e+01	6.17847000e+01	1.97012000e+01	9.83604700e+00	8.03201100e+00	5.91036000e+00
1.34922300e+03	-2.26702758e-01	-1.21182065e+00	-2.42695573e-01	7.76169000e+01	6.22824000e+01	1.93344000e+01	1.00901970e+01	8.09671200e+00	5.80032000e+00
1.46925000e+03	-1.74918495e-01	-1.20001000e+00	-2.41543703e-01	7.78156000e+01	6.25358000e+01	2.02469000e+01	1.01160280e+01	8.12965400e+00	6.07407000e+00
1.58865800e+03	-1.46708563e-01	-1.21776543e+00	-2.43788896e-01	7.76623000e+01	6.20265000e+01	2.00615000e+01	1.00960990e+01	8.06344500e+00	6.01845000e+00
1.70921500e+03	-1.09066639e-01	-1.20662896e+00	-2.44041247e-01	7.79472000e+01	6.10129000e+01	1.97612000e+01	1.01331360e+01	7.93167700e+00	5.92836000e+00
1.82889700e+03	3.58497586e-02	-1.15503756e+00	-2.40746460e-01	7.44798000e+01	6.21523000e+01	2.16635000e+01	9.68237400e+00	8.07979900e+00	6.49905000e+00
1.94928600e+03	5.75103718e-02	-1.17923904e+00	-2.44111492e-01	7.39420000e+01	6.30775000e+01	2.10781000e+01	9.61246000e+00	8.20007500e+00	6.32343000e+00
2.06915700e+03	1.17054114e-01	-9.92566491e-01	-2.20453039e-01	6.88002000e+01	6.53710000e+01	2.37037000e+01	8.94402600e+00	8.49823000e+00	7.11111000e+00
2.18922100e+03	1.47931383e-01	-8.98760680e-01	-2.04881453e-01	6.66501000e+01	6.62959000e+01	2.44825000e+01	8.66451300e+00	8.61846700e+00	7.34475000e+00
2.30906800e+03	1.82556009e-01	-8.14615938e-01	-1.90211361e-01	6.26516000e+01	6.78903000e+01	2.47813000e+01	8.14470800e+00	8.82573900e+00	7.43439000e+00
2.42906400e+03	1.95266648e-01	-7.59892239e-01	-1.79610754e-01	6.15964000e+01	6.85206000e+01	2.47938000e+01	8.00753200e+00	8.90767800e+00	7.43814000e+00
2.54912100e+03	1.95121599e-01	-7.44729783e-01	-1.76403151e-01	6.25091000e+01	6.83584000e+01	2.51340000e+01	8.12618300e+00	8.88659200e+00	7.54020000e+00
2.66912800e+03	1.98399331e-01	-7.09089300e-01	-1.68687805e-01	6.20605000e+01	6.91260000e+01	2.50145000e+01	8.06786500e+00	8.98638000e+00	7.50435000e+00
2.78902000e+03	2.04369261e-01	-7.00712496e-01	-1.67215426e-01	6.06288000e+01	6.99157000e+01	2.38874000e+01	7.88174400e+00	9.08904100e+00	7.16622000e+00
2.90866800e+03	2.09693645e-01	-6.81519191e-01	-1.63291048e-01	6.07790000e+01	6.96812000e+01	2.50049000e+01	7.90127000e+00	9.05855600e+00	7.50147000e+00
3.02912500e+03	1.99249344e-01	-6.10854467e-01	-1.46363149e-01	6.03606000e+01	7.22248000e+01	2.52093000e+01	7.84687800e+00	9.38922400e+00	7.56279000e+00
3.14912000e+03	2.05450256e-01	-5.90576707e-01	-1.42079245e-01	5.95460000e+01	7.29401000e+01	2.53940000e+01	7.74098000e+00	9.48221300e+00	7.61820000e+00
3.26877100e+03	2.25528568e-01	-5.30773713e-01	-1.30005781e-01	5.36786000e+01	7.32075000e+01	2.53307000e+01	6.97821800e+00	9.51697500e+00	7.59921000e+00
3.38917900e+03	2.29250558e-01	-5.33607355e-01	-1.31041185e-01	5.42023000e+01	7.25636000e+01	2.54916000e+01	7.04629900e+00	9.43326800e+00	7.64748000e+00
3.50924700e+03	2.20009198e-01	-4.74974598e-01	-1.16361342e-01	5.13282000e+01	7.45567000e+01	2.55909000e+01	6.67266600e+00	9.69237100e+00	7.67727000e+00
3.90599400e+03	1.93732406e-01	-3.54344200e-01	-8.54504665e-02	4.78844000e+01	7.75283000e+01	2.46483000e+01	6.22497200e+00	1.00786790e+01	7.39449000e+00
8.16568700e+03	2.89062876e-02	-2.93254542e-01	-5.75181737e-02	7.71582000e+01	8.83638000e+01	1.81143000e+01	1.00305660e+01	1.14872940e+01	5.43429000e+00
