# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.63065500e+03	1.01144846e-02	-8.09762688e-01	-2.03936322e-01	2.03658000e+02	1.68322000e+02	1.47379000e+01	2.64755400e+01	2.18818600e+01	4.42137000e+00
-1.02376800e+03	4.18971282e-02	-9.37713184e-01	-2.45110719e-01	2.22683000e+02	1.37706000e+02	1.88866000e+01	2.89487900e+01	1.79017800e+01	5.66598000e+00
-6.57023000e+02	3.72932843e-02	-9.32744729e-01	-2.43504193e-01	2.22519000e+02	1.39333000e+02	1.80294000e+01	2.89274700e+01	1.81132900e+01	5.40882000e+00
-5.38832000e+02	3.16770509e-02	-9.16451661e-01	-2.38194884e-01	2.22753000e+02	1.39406000e+02	1.82201000e+01	2.89578900e+01	1.81227800e+01	5.46603000e+00
-4.19382000e+02	2.19240516e-02	-8.83038388e-01	-2.27373811e-01	2.21581000e+02	1.40174000e+02	1.81107000e+01	2.88055300e+01	1.82226200e+01	5.43321000e+00
-2.99770000e+02	1.08504680e-02	-8.33711984e-01	-2.11565236e-01	2.20397000e+02	1.40218000e+02	1.82186000e+01	2.86516100e+01	1.82283400e+01	5.46558000e+00
-1.77078000e+02	4.13424734e-03	-8.26082802e-01	-2.09182195e-01	2.20514000e+02	1.39646000e+02	1.76265000e+01	2.86668200e+01	1.81539800e+01	5.28795000e+00
-5.68970000e+01	-1.45190867e-16	-8.11612853e-01	-2.04581467e-01	2.19209000e+02	1.38786000e+02	1.77523000e+01	2.84971700e+01	1.80421800e+01	5.32569000e+00
6.29370000e+01	1.57043300e-02	-9.30985983e-01	-2.42907539e-01	2.18900000e+02	1.29763000e+02	1.32472000e+01	2.84570000e+01	1.68691900e+01	3.97416000e+00
1.81659000e+02	3.25175094e-02	-1.06274110e+00	-2.85772351e-01	2.18621000e+02	1.21488000e+02	1.16891000e+01	2.84207300e+01	1.57934400e+01	3.50673000e+00
3.03049000e+02	4.48277845e-02	-1.12838918e+00	-3.07294016e-01	2.15859000e+02	1.18006000e+02	1.18652000e+01	2.80616700e+01	1.53407800e+01	3.55956000e+00
4.23571000e+02	4.84702188e-02	-1.14562725e+00	-3.12966116e-01	2.15428000e+02	1.16034000e+02	1.16077000e+01	2.80056400e+01	1.50844200e+01	3.48231000e+00
5.43291000e+02	6.71708067e-02	-1.25846613e+00	-3.49986656e-01	2.16438000e+02	1.12135000e+02	1.12180000e+01	2.81369400e+01	1.45775500e+01	3.36540000e+00
