# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-6.11666000e+02	-8.28347668e-03	-2.64144456e-01	-4.06360466e-02	1.13858000e+02	1.60201000e+02	9.07384000e+00	1.48015400e+01	2.08261300e+01	2.72215200e+00
-1.80100000e+01	1.93485733e-17	-2.21790345e-01	-3.13853938e-02	1.10676000e+02	1.59332000e+02	8.17361000e+00	1.43878800e+01	2.07131600e+01	2.45208300e+00
1.31892000e+02	-2.83229548e-03	-2.11895497e-01	-2.96243748e-02	1.10215000e+02	1.54103000e+02	6.69143000e+00	1.43279500e+01	2.00333900e+01	2.00742900e+00
2.79201000e+02	-1.33005612e-02	-2.29398081e-01	-3.39383626e-02	1.12052000e+02	1.51094000e+02	9.46209000e+00	1.45667600e+01	1.96422200e+01	2.83862700e+00
3.93951000e+02	-1.93045349e-02	-2.42449089e-01	-3.72233358e-02	1.11628000e+02	1.49943000e+02	8.61725000e+00	1.45116400e+01	1.94925900e+01	2.58517500e+00
5.14586000e+02	-2.35068185e-02	-2.60998773e-01	-4.15948432e-02	1.13340000e+02	1.48396000e+02	1.10967000e+01	1.47342000e+01	1.92914800e+01	3.32901000e+00
6.32392000e+02	-2.25646265e-02	-2.59937193e-01	-4.12496168e-02	1.09000000e+02	1.47000000e+02	1.10000000e+01	1.41700000e+01	1.91100000e+01	3.30000000e+00
8.34950000e+02	-2.59671143e-02	-2.52492559e-01	-4.01727027e-02	1.09343000e+02	1.48096000e+02	9.16269000e+00	1.42145900e+01	1.92524800e+01	2.74880700e+00
9.55944000e+02	-1.61099749e-02	-2.28475750e-01	-3.40367131e-02	1.09066000e+02	1.47680000e+02	9.68606000e+00	1.41785800e+01	1.91984000e+01	2.90581800e+00
1.07673300e+03	-1.04784048e-02	-2.18123117e-01	-3.14299417e-02	1.09273000e+02	1.47215000e+02	9.79966000e+00	1.42054900e+01	1.91379500e+01	2.93989800e+00
1.19512100e+03	-8.96497955e-03	-2.25679606e-01	-3.28038633e-02	1.09092000e+02	1.47211000e+02	9.65078000e+00	1.41819600e+01	1.91374300e+01	2.89523400e+00
1.31513100e+03	-8.67257354e-03	-2.26377134e-01	-3.29185386e-02	1.09099000e+02	1.47658000e+02	8.44602000e+00	1.41828700e+01	1.91955400e+01	2.53380600e+00
1.43676300e+03	-4.28211841e-03	-2.48890835e-01	-3.71432007e-02	1.08411000e+02	1.42814000e+02	8.29739000e+00	1.40934300e+01	1.85658200e+01	2.48921700e+00
1.55615500e+03	4.66391988e-04	-2.42554758e-01	-3.55226402e-02	1.09058000e+02	1.41740000e+02	7.86080000e+00	1.41775400e+01	1.84262000e+01	2.35824000e+00
1.67633500e+03	-4.79568373e-05	-2.49636424e-01	-3.69993417e-02	1.09559000e+02	1.40799000e+02	8.23203000e+00	1.42426700e+01	1.83038700e+01	2.46960900e+00
1.79644700e+03	3.60119405e-03	-2.40279528e-01	-3.48737085e-02	1.09821000e+02	1.40411000e+02	8.21126000e+00	1.42767300e+01	1.82534300e+01	2.46337800e+00
1.91705100e+03	1.00327599e-02	-2.39941624e-01	-3.44954450e-02	1.08533000e+02	1.41126000e+02	7.89168000e+00	1.41092900e+01	1.83463800e+01	2.36750400e+00
2.08862300e+03	9.81034538e-03	-2.23600163e-01	-3.12521197e-02	1.08752000e+02	1.42196000e+02	7.40654000e+00	1.41377600e+01	1.84854800e+01	2.22196200e+00
2.20752200e+03	1.07746962e-02	-2.12384821e-01	-2.90300824e-02	1.10401000e+02	1.43684000e+02	7.30824000e+00	1.43521300e+01	1.86789200e+01	2.19247200e+00
2.32703100e+03	1.19594878e-02	-2.23106776e-01	-3.10753323e-02	1.11837000e+02	1.44276000e+02	8.71745000e+00	1.45388100e+01	1.87558800e+01	2.61523500e+00
2.44719700e+03	1.42600509e-02	-2.17691389e-01	-2.99418438e-02	1.11454000e+02	1.43813000e+02	8.07249000e+00	1.44890200e+01	1.86956900e+01	2.42174700e+00
2.56865400e+03	1.68863082e-02	-2.15838420e-01	-2.95037658e-02	1.11651000e+02	1.45254000e+02	9.63299000e+00	1.45146300e+01	1.88830200e+01	2.88989700e+00
2.68795700e+03	1.91654274e-02	-2.23115621e-01	-3.08598945e-02	1.10812000e+02	1.45899000e+02	9.82321000e+00	1.44055600e+01	1.89668700e+01	2.94696300e+00
2.81063400e+03	1.96604135e-02	-2.22825180e-01	-3.07905771e-02	1.11882000e+02	1.48039000e+02	9.14584000e+00	1.45446600e+01	1.92450700e+01	2.74375200e+00
2.93316900e+03	2.31319062e-02	-2.27758325e-01	-3.16729876e-02	1.10782000e+02	1.48306000e+02	8.69232000e+00	1.44016600e+01	1.92797800e+01	2.60769600e+00
3.05393800e+03	2.76907195e-02	-2.26772461e-01	-3.14149776e-02	1.10812000e+02	1.49673000e+02	9.24228000e+00	1.44055600e+01	1.94574900e+01	2.77268400e+00
3.17399900e+03	3.28261288e-02	-2.40968683e-01	-3.41393173e-02	1.11372000e+02	1.50718000e+02	8.68079000e+00	1.44783600e+01	1.95933400e+01	2.60423700e+00
3.29378000e+03	3.90514122e-02	-2.55224538e-01	-3.69437545e-02	1.10649000e+02	1.51897000e+02	8.36693000e+00	1.43843700e+01	1.97466100e+01	2.51007900e+00
