# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-1150.63	-0.1526842	-0.5635362	-0.1152726	65.514	130.462	17.766	8.5169	16.9601	2.3096
-580.97	-0.0495882	-0.4436001	-0.0812469	65.623	130.701	19.011	8.5310	16.9911	2.4714
-184.16	-0.0185389	-0.3420388	-0.0571031	66.224	128.465	17.906	8.6091	16.7005	2.3278
16.36	-0.0017327	-0.3776990	-0.0651772	65.800	122.566	19.602	8.5540	15.9336	2.5482
137.41	0.0002369	-0.4189453	-0.0748415	65.568	112.938	17.601	8.5238	14.6819	2.2881
257.43	0.0059505	-0.4558383	-0.0837422	66.922	107.254	17.689	8.6998	13.9430	2.2996
284.41	0.0073109	-0.4756816	-0.0885585	66.473	106.209	17.233	8.6414	13.8072	2.2403
405.35	0.0096984	-0.5093410	-0.0968882	66.829	102.302	16.787	8.6877	13.2993	2.1823
525.4	0.0112228	-0.4749214	-0.0884196	67.499	101.261	17.328	8.7748	13.1639	2.2526
645.41	0.0189763	-0.4733045	-0.0881247	66.576	100.262	16.781	8.6548	13.0341	2.1815
765.41	0.0150631	-0.4339902	-0.0785628	67.140	98.978	18.295	8.7282	12.8671	2.3783
888.4	0.0046696	-0.4360652	-0.0789471	68.622	97.152	17.160	8.9209	12.6297	2.2307
1008.45	0.0118073	-0.3991918	-0.0702887	68.527	97.281	17.031	8.9085	12.6466	2.2140
1128.4	0.0161462	-0.3817411	-0.0662914	69.427	96.046	17.277	9.0255	12.4860	2.2460
1248.4	0.0241445	-0.3557208	-0.0604604	70.123	94.820	17.581	9.1159	12.3266	2.2855
1365.43	0.0283701	-0.3193524	-0.0524502	68.587	95.535	17.824	8.9163	12.4196	2.3171
1485.4	0.0304973	-0.3060766	-0.0496231	68.465	95.391	17.652	8.9004	12.4008	2.2948
1605.41	0.0321440	-0.2927696	-0.0468023	70.151	94.933	16.292	9.1197	12.3412	2.1179
1725.41	0.0283324	-0.2837338	-0.0447667	69.255	94.862	17.895	9.0032	12.3321	2.3264
1821.35	0.0353959	-0.2796579	-0.0441330	68.974	96.776	19.973	8.9667	12.5808	2.5965
1935.39	0.0312380	-0.2459413	-0.0370220	68.620	100.025	17.906	8.9206	13.0033	2.3278
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2073.47	0.0303319	-0.2286898	-0.0335526	67.474	102.382	18.144	8.7716	13.3097	2.3587
2193.58	0.0286227	-0.2214726	-0.0320783	66.912	102.083	16.617	8.6985	13.2708	2.1602
2313.52	0.0241106	-0.2016762	-0.0281341	67.676	102.294	17.173	8.7978	13.2982	2.2324
2433.52	0.0261649	-0.1899183	-0.0259964	65.329	102.653	17.423	8.4927	13.3449	2.2650
2553.53	0.0238867	-0.1851368	-0.0250440	65.244	102.990	17.273	8.4817	13.3887	2.2454
2673.52	0.0266960	-0.1830812	-0.0247640	63.787	104.418	18.018	8.2923	13.5743	2.3424
2797.38	0.0262130	-0.1770878	-0.0236555	64.031	104.041	17.156	8.3240	13.5253	2.2303
2917.36	0.0262130	-0.1770878	-0.0236555	63.587	101.576	17.783	8.2664	13.2049	2.3118
