# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.72406300e+03	8.02146600e-02	-2.95526609e-01	-6.96054086e-02	8.90000000e+01	9.30000000e+01	1.90000000e+01	1.15700000e+01	1.20900000e+01	5.70000000e+00
-1.11906800e+03	-7.91102650e-03	-1.20648436e-01	-2.54839385e-02	8.90200000e+01	9.38790000e+01	1.79103000e+01	1.15726000e+01	1.22042700e+01	5.37309000e+00
-7.05990000e+02	-1.40923029e-03	-1.22951279e-01	-2.55203609e-02	8.29757000e+01	9.73537000e+01	1.73735000e+01	1.07868410e+01	1.26559810e+01	5.21205000e+00
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-5.87192000e+02	4.31210065e-04	-1.24304231e-01	-2.57553559e-02	8.13838000e+01	9.57423000e+01	1.57403000e+01	1.05798940e+01	1.24464990e+01	4.72209000e+00
-4.67112000e+02	6.50778429e-04	-1.28051306e-01	-2.67227906e-02	8.17284000e+01	9.61962000e+01	1.66789000e+01	1.06246920e+01	1.25055060e+01	5.00367000e+00
-3.47215000e+02	3.35757202e-03	-1.34649011e-01	-2.83010424e-02	8.06354000e+01	9.55803000e+01	1.67509000e+01	1.04826020e+01	1.24254390e+01	5.02527000e+00
-2.27156000e+02	1.23592539e-03	-1.44354803e-01	-3.09613267e-02	8.32282000e+01	9.37614000e+01	1.59731000e+01	1.08196660e+01	1.21889820e+01	4.79193000e+00
-1.07182000e+02	-6.37594402e-04	-1.44908540e-01	-3.12160540e-02	8.47639000e+01	9.32286000e+01	1.57774000e+01	1.10193070e+01	1.21197180e+01	4.73322000e+00
1.29800000e+01	-0.00000000e+00	-1.55340003e-01	-3.39187772e-02	8.17441000e+01	9.16422000e+01	1.68944000e+01	1.06267330e+01	1.19134860e+01	5.06832000e+00
1.32763000e+02	2.33137066e-03	-1.56095633e-01	-3.39941474e-02	7.87269000e+01	8.98583000e+01	1.66834000e+01	1.02344970e+01	1.16815790e+01	5.00502000e+00
2.52970000e+02	2.09626557e-03	-1.72083417e-01	-3.81864023e-02	7.91628000e+01	8.66019000e+01	1.50476000e+01	1.02911640e+01	1.12582470e+01	4.51428000e+00
3.72952000e+02	-7.14370298e-04	-1.84761403e-01	-4.16207358e-02	8.08970000e+01	8.47747000e+01	1.54036000e+01	1.05166100e+01	1.10207110e+01	4.62108000e+00
4.92920000e+02	-3.87395038e-04	-2.06355853e-01	-4.70987566e-02	8.18124000e+01	8.11677000e+01	1.41964000e+01	1.06356120e+01	1.05518010e+01	4.25892000e+00
6.12954000e+02	-1.09315058e-03	-2.24827247e-01	-5.17327976e-02	8.36370000e+01	7.85201000e+01	1.25659000e+01	1.08728100e+01	1.02076130e+01	3.76977000e+00
7.32877000e+02	-8.25377055e-05	-2.56441984e-01	-5.91846957e-02	8.39698000e+01	7.44869000e+01	1.14783000e+01	1.09160740e+01	9.68329700e+00	3.44349000e+00
8.52910000e+02	-5.37443051e-04	-2.64158803e-01	-6.09720841e-02	8.49157000e+01	7.26797000e+01	1.12118000e+01	1.10390410e+01	9.44836100e+00	3.36354000e+00
9.72835000e+02	7.79493731e-04	-2.61054411e-01	-6.02245031e-02	8.62373000e+01	7.23976000e+01	1.08240000e+01	1.12108490e+01	9.41168800e+00	3.24720000e+00
1.09287300e+03	8.88611778e-03	-2.65306064e-01	-6.10629106e-02	8.35011000e+01	7.23204000e+01	1.07034000e+01	1.08551430e+01	9.40165200e+00	3.21102000e+00
1.21289200e+03	9.89649163e-03	-2.64528888e-01	-6.08833290e-02	8.35084000e+01	7.06336000e+01	1.02288000e+01	1.08560920e+01	9.18236800e+00	3.06864000e+00
1.33283800e+03	1.44103418e-02	-2.64169186e-01	-6.07868577e-02	8.29432000e+01	6.92673000e+01	1.16010000e+01	1.07826160e+01	9.00474900e+00	3.48030000e+00
1.45281200e+03	7.81856399e-03	-2.57341908e-01	-5.92582334e-02	8.55663000e+01	7.00623000e+01	1.11777000e+01	1.11236190e+01	9.10809900e+00	3.35331000e+00
1.57278100e+03	2.05923790e-02	-2.70347941e-01	-6.21849400e-02	8.25355000e+01	6.68667000e+01	1.10806000e+01	1.07296150e+01	8.69267100e+00	3.32418000e+00
1.69279400e+03	1.83847419e-02	-2.62857612e-01	-6.04439765e-02	8.19972000e+01	6.64066000e+01	1.11843000e+01	1.06596360e+01	8.63285800e+00	3.35529000e+00
1.81284600e+03	2.24541869e-02	-2.62786707e-01	-6.04126966e-02	8.15759000e+01	6.65142000e+01	1.26408000e+01	1.06048670e+01	8.64684600e+00	3.79224000e+00
1.93284600e+03	1.37412573e-02	-2.59949677e-01	-5.98069037e-02	8.32735000e+01	6.78727000e+01	1.23350000e+01	1.08255550e+01	8.82345100e+00	3.70050000e+00
2.05279500e+03	9.26141206e-03	-2.54838412e-01	-5.86653353e-02	8.34125000e+01	6.88879000e+01	1.25469000e+01	1.08436250e+01	8.95542700e+00	3.76407000e+00
2.17292500e+03	1.23706578e-02	-2.50095936e-01	-5.74835902e-02	8.18473000e+01	6.98620000e+01	1.32780000e+01	1.06401490e+01	9.08206000e+00	3.98340000e+00
2.29291400e+03	1.15619886e-02	-2.31780460e-01	-5.30655798e-02	7.98865000e+01	7.32133000e+01	1.37198000e+01	1.03852450e+01	9.51772900e+00	4.11594000e+00
2.41287400e+03	6.14719308e-03	-2.15704853e-01	-4.92110563e-02	8.17835000e+01	7.54840000e+01	1.31663000e+01	1.06318550e+01	9.81292000e+00	3.94989000e+00
2.53285800e+03	3.30745707e-03	-2.07350707e-01	-4.72025239e-02	8.18676000e+01	7.57495000e+01	1.29876000e+01	1.06427880e+01	9.84743500e+00	3.89628000e+00
2.65282900e+03	-2.55843900e-03	-1.96925928e-01	-4.48240844e-02	8.53965000e+01	7.83649000e+01	1.37691000e+01	1.11015450e+01	1.01874370e+01	4.13073000e+00
2.77279500e+03	-3.10547938e-03	-1.95557259e-01	-4.45054695e-02	8.60719000e+01	7.74951000e+01	1.39995000e+01	1.11893470e+01	1.00743630e+01	4.19985000e+00
2.89277200e+03	-1.45638657e-04	-1.93341251e-01	-4.37954263e-02	8.45171000e+01	7.76019000e+01	1.43469000e+01	1.09872230e+01	1.00882470e+01	4.30407000e+00
3.01279900e+03	-3.66023643e-03	-1.88544484e-01	-4.27485401e-02	8.71847000e+01	7.81056000e+01	1.44817000e+01	1.13340110e+01	1.01537280e+01	4.34451000e+00
3.13280600e+03	-3.82564650e-03	-1.89469234e-01	-4.29942596e-02	8.72770000e+01	7.82960000e+01	1.45373000e+01	1.13460100e+01	1.01784800e+01	4.36119000e+00
3.25277700e+03	-4.79141425e-03	-1.92963546e-01	-4.39416156e-02	8.73523000e+01	7.68160000e+01	1.32944000e+01	1.13557990e+01	9.98608000e+00	3.98832000e+00
3.37275400e+03	-3.38603200e-03	-1.89032434e-01	-4.28577107e-02	8.64643000e+01	7.68832000e+01	1.27499000e+01	1.12403590e+01	9.99481600e+00	3.82497000e+00
3.49278400e+03	-4.91927068e-03	-1.96626073e-01	-4.48790390e-02	8.74571000e+01	7.50348000e+01	1.20662000e+01	1.13694230e+01	9.75452400e+00	3.61986000e+00
3.87517300e+03	3.13606664e-05	-1.83647661e-01	-4.12946148e-02	8.68422000e+01	7.66108000e+01	1.12626000e+01	1.12894860e+01	9.95940400e+00	3.37878000e+00
8.13577200e+03	5.76572207e-03	-1.94029754e-01	-4.37216834e-02	8.14033000e+01	7.96341000e+01	1.15484000e+01	1.05824290e+01	1.03524330e+01	3.46452000e+00
