# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-6.72406300e+03	3.60225335e-03	-9.28622548e-02	-2.33716733e-02	1.35591000e+02	1.00543000e+02	1.20034000e+01	1.76268300e+01	1.30705900e+01	3.60102000e+00
-1.11906800e+03	-5.87850178e-04	-1.61112115e-01	-4.60334661e-02	1.32337000e+02	1.01225000e+02	1.33821000e+01	1.72038100e+01	1.31592500e+01	4.01463000e+00
-7.05990000e+02	-2.02537321e-04	-1.51197403e-01	-4.28820585e-02	1.31697000e+02	1.02327000e+02	1.18481000e+01	1.71206100e+01	1.33025100e+01	3.55443000e+00
-6.07672000e+02	-5.55316166e-04	-1.58355219e-01	-4.51689675e-02	1.32033000e+02	1.02132000e+02	1.11976000e+01	1.71642900e+01	1.32771600e+01	3.35928000e+00
-5.87192000e+02	-4.42683998e-04	-1.55632843e-01	-4.43023774e-02	1.30544000e+02	1.03654000e+02	1.18752000e+01	1.69707200e+01	1.34750200e+01	3.56256000e+00
-4.67112000e+02	-1.00014700e-04	-1.48033865e-01	-4.18674035e-02	1.31935000e+02	1.02874000e+02	1.08605000e+01	1.71515500e+01	1.33736200e+01	3.25815000e+00
-3.47215000e+02	-2.06753238e-04	-1.51909915e-01	-4.31025974e-02	1.34925000e+02	1.04483000e+02	1.13350000e+01	1.75402500e+01	1.35827900e+01	3.40050000e+00
-2.27156000e+02	3.50990827e-04	-1.37686089e-01	-3.84960076e-02	1.33582000e+02	1.06750000e+02	1.17733000e+01	1.73656600e+01	1.38775000e+01	3.53199000e+00
-1.07182000e+02	-1.62602886e-17	-1.46283070e-01	-4.12948341e-02	1.33681000e+02	1.04991000e+02	1.13095000e+01	1.73785300e+01	1.36488300e+01	3.39285000e+00
1.29800000e+01	-2.56180050e-04	-1.54297025e-01	-4.38602918e-02	1.37005000e+02	1.05012000e+02	9.00333000e+00	1.78106500e+01	1.36515600e+01	2.70099900e+00
1.32763000e+02	-2.29486160e-03	-2.04430282e-01	-5.88695070e-02	1.35229000e+02	9.81828000e+01	7.47453000e+00	1.75797700e+01	1.27637640e+01	2.24235900e+00
2.52970000e+02	-3.89301304e-03	-2.43154987e-01	-6.85321684e-02	1.34079000e+02	9.30141000e+01	7.52810000e+00	1.74302700e+01	1.20918330e+01	2.25843000e+00
3.72952000e+02	-4.32383784e-03	-2.54456919e-01	-7.10204243e-02	1.35873000e+02	8.85642000e+01	6.23146000e+00	1.76634900e+01	1.15133460e+01	1.86943800e+00
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
