# t_sec	Fx_pN	Fy_pN	Fz_pN	x_px	y_px	z_px	x_um	y_um	z_um
-7.03325200e+03	-3.04018433e-02	-1.91107023e-01	-2.29082973e-02	7.52460000e+01	1.36212000e+02	1.66332000e+01	9.78198000e+00	1.77075600e+01	4.98996000e+00
-1.48204400e+03	2.54048869e-03	-7.65238576e-01	-1.84358223e-01	5.51847000e+01	1.32211000e+02	1.25750000e+01	7.17401100e+00	1.71874300e+01	3.77250000e+00
-8.47648000e+02	2.17327124e-03	-6.89776375e-01	-1.60163826e-01	5.75669000e+01	1.33931000e+02	1.31203000e+01	7.48369700e+00	1.74110300e+01	3.93609000e+00
-5.54691000e+02	1.03739019e-03	-6.36350533e-01	-1.41632273e-01	5.57190000e+01	1.36994000e+02	1.30411000e+01	7.24347000e+00	1.78092200e+01	3.91233000e+00
-4.35024000e+02	3.68203290e-04	-6.40208506e-01	-1.41917662e-01	5.59522000e+01	1.37487000e+02	1.36697000e+01	7.27378600e+00	1.78733100e+01	4.10091000e+00
-3.15371000e+02	3.90745478e-04	-6.45638542e-01	-1.43521631e-01	5.72630000e+01	1.39218000e+02	1.35584000e+01	7.44419000e+00	1.80983400e+01	4.06752000e+00
-1.94918000e+02	7.89283758e-04	-6.46816377e-01	-1.44343540e-01	5.69116000e+01	1.40514000e+02	1.38785000e+01	7.39850800e+00	1.82668200e+01	4.16355000e+00
-7.44780000e+01	5.29576035e-17	-6.60725360e-01	-1.47549989e-01	5.61144000e+01	1.39758000e+02	1.39704000e+01	7.29487200e+00	1.81685400e+01	4.19112000e+00
4.54920000e+01	9.68958699e-04	-8.32979025e-01	-1.99190139e-01	5.79145000e+01	1.34651000e+02	1.13858000e+01	7.52888500e+00	1.75046300e+01	3.41574000e+00
1.64954000e+02	4.06374490e-03	-9.38792474e-01	-2.34385693e-01	5.82451000e+01	1.30967000e+02	9.90222000e+00	7.57186300e+00	1.70257100e+01	2.97066600e+00
2.86147000e+02	5.10606077e-03	-9.74808803e-01	-2.47029495e-01	5.84295000e+01	1.29368000e+02	8.18360000e+00	7.59583500e+00	1.68178400e+01	2.45508000e+00
4.06667000e+02	5.47905081e-03	-1.00792867e+00	-2.55779939e-01	5.77273000e+01	1.26896000e+02	7.10542000e+00	7.50454900e+00	1.64964800e+01	2.13162600e+00
5.26638000e+02	3.63027132e-03	-1.00302343e+00	-2.51075024e-01	5.78751000e+01	1.25679000e+02	6.82103000e+00	7.52376300e+00	1.63382700e+01	2.04630900e+00
6.46987000e+02	3.57207308e-03	-1.01254104e+00	-2.53648266e-01	5.87559000e+01	1.25069000e+02	6.33322000e+00	7.63826700e+00	1.62589700e+01	1.89996600e+00
7.66287000e+02	3.13929298e-03	-9.64061832e-01	-2.39470385e-01	5.79283000e+01	1.26262000e+02	5.82571000e+00	7.53067900e+00	1.64140600e+01	1.74771300e+00
8.85692000e+02	3.12104150e-03	-9.56527143e-01	-2.37340429e-01	5.80000000e+01	1.25000000e+02	6.00000000e+00	7.54000000e+00	1.62500000e+01	1.80000000e+00
1.00654400e+03	2.73528884e-03	-9.65782223e-01	-2.39384621e-01	5.80000000e+01	1.25000000e+02	5.50000000e+00	7.54000000e+00	1.62500000e+01	1.65000000e+00
1.12591700e+03	2.33629527e-03	-9.51943779e-01	-2.34974243e-01	5.70000000e+01	1.26000000e+02	5.50000000e+00	7.41000000e+00	1.63800000e+01	1.65000000e+00
1.24615100e+03	-8.38535962e-04	-9.40889747e-01	-2.28950749e-01	5.75000000e+01	1.27000000e+02	5.50000000e+00	7.47500000e+00	1.65100000e+01	1.65000000e+00
1.36549900e+03	-2.19533481e-03	-9.46675519e-01	-2.29581857e-01	5.89361000e+01	1.26324000e+02	5.59228000e+00	7.66169300e+00	1.64221200e+01	1.67768400e+00
1.48615200e+03	-3.96133392e-03	-9.59538243e-01	-2.32185035e-01	5.95000000e+01	1.25000000e+02	6.00000000e+00	7.73500000e+00	1.62500000e+01	1.80000000e+00
1.60498800e+03	-2.93265985e-03	-9.77384390e-01	-2.38045702e-01	5.98662000e+01	1.24356000e+02	5.59392000e+00	7.78260600e+00	1.61662800e+01	1.67817600e+00
1.72593600e+03	-1.43613652e-03	-9.94193914e-01	-2.44004305e-01	5.92427000e+01	1.24336000e+02	5.57798000e+00	7.70155100e+00	1.61636800e+01	1.67339400e+00
